seed,generation,best_fitness,mean_fitness,worst_fitness,num_species,best_nodes,best_connections,avg_nodes,avg_connections,time_eval_ms,time_speciate_ms,time_reproduce_ms,time_total_ms
1460262605,0,0.0192,0.0123413,0.0092,1,6,5,6,5,1.35616,0.033037,0.207309,1.5996
1460262605,1,0.0251,0.014934,0.0104,1,6,5,6.00667,4.99333,1.01442,0.013555,0.294463,1.32555
1460262605,2,0.0256,0.0166373,0.0112,1,6,5,6.02667,5.02667,1.1313,0.014,0.208361,1.35648
1460262605,3,0.0339,0.01763,0.0114,1,6,5,6.02667,5.02667,1.51516,0.014653,0.22127,1.75421
1460262605,4,0.0339,0.0185667,0.0128,1,6,5,6.04667,5.04,1.24643,0.014562,0.324536,1.58826
1460262605,5,0.0328,0.0197313,0.0116,1,6,5,6.04667,5.04667,1.33109,0.013304,0.17459,1.52209
1460262605,6,0.0315,0.0196887,0.0115,1,6,5,6.03333,5.01333,1.3564,0.01416,0.342903,1.71628
1460262605,7,0.0345,0.019944,0.0106,1,6,5,6.08667,5.02667,1.20193,0.011111,0.240776,1.45643
1460262605,8,0.0478,0.0217047,0.0105,1,7,6,6.08,4.95333,1.48903,0.013857,0.193655,1.69969
1460262605,9,0.052,0.0222467,0.0109,1,6,4,6.21333,5.11333,1.41834,0.014846,0.329436,1.76648
1460262605,10,0.0639,0.0254573,0.0106,1,6,4,6.13333,4.74,1.58422,0.014621,0.199162,1.80104
1460262605,11,0.2127,0.0283853,0.0112,1,6,3,6.17333,4.54,1.82915,0.014488,0.197466,2.04426
1460262605,12,0.2127,0.0324087,0.0124,1,6,3,6.18667,4.24,2.05382,0.01464,0.197012,2.26933
1460262605,13,0.2128,0.0387587,0.0111,1,6,3,6.02667,3.60667,2.52155,0.007118,0.178886,2.70955
1460262605,14,0.2131,0.0531633,0.0127,1,6,3,6.01333,3.43333,3.44873,0.007344,0.178373,3.63608
1460262605,15,0.2135,0.072102,0.0109,1,6,3,6.02667,3.45333,4.56524,0.011436,0.168372,4.74694
1460262605,16,0.2136,0.086356,0.013,1,6,3,6.02667,3.41333,5.9071,0.007652,0.186284,6.10339
1460262605,17,0.2137,0.11106,0.0132,1,6,3,6.01333,3.45333,6.89406,0.007644,0.184592,7.08882
