seed,generation,best_fitness,mean_fitness,worst_fitness,num_species,time_eval_ms,time_speciate_ms,time_reproduce_ms,time_total_ms
697950559,0,0.0179,0.0122747,0.0089,1,0.616491,0.029947,0.137251,0.785352
697950559,1,0.0238,0.0148007,0.0099,1,0.216481,0.009037,0.154644,0.381104
697950559,2,0.0311,0.0169887,0.0101,1,0.201112,0.009328,0.148442,0.359903
697950559,3,0.0311,0.017834,0.0119,1,0.217653,0.008847,0.140617,0.368169
697950559,4,0.0363,0.0193147,0.0137,1,0.233413,0.01053,0.144735,0.38969
697950559,5,0.0311,0.020148,0.0127,1,0.231039,0.009829,0.145416,0.387225
697950559,6,0.0537,0.020566,0.0121,1,0.250576,0.009859,0.140917,0.402335
697950559,7,0.0328,0.0206327,0.0107,1,0.234816,0.009879,0.14183,0.387446
697950559,8,0.0446,0.0223027,0.0117,1,0.248522,0.009438,0.142501,0.401242
697950559,9,0.0413,0.0225067,0.0115,1,0.44779,0.01066,0.152851,0.612804
697950559,10,0.0431,0.02307,0.0117,1,0.270394,0.009939,0.136099,0.417313
697950559,11,0.0565,0.023942,0.011,1,0.285592,0.009548,0.143052,0.439144
697950559,12,0.1102,0.0249093,0.0099,1,0.295512,0.009769,0.138874,0.445046
697950559,13,0.083,0.0260393,0.0116,1,0.529946,0.009989,0.143382,0.68437
697950559,14,0.083,0.025308,0.0113,1,0.301433,0.009978,0.154353,0.466637
697950559,15,0.0984,0.0280693,0.0102,1,0.341218,0.009989,0.165204,0.517383
697950559,16,0.0933,0.0321927,0.0118,1,0.403988,0.01043,0.179351,0.59475
697950559,17,0.2133,0.0347307,0.0127,1,0.492185,0.011873,0.166877,0.672357
697950559,18,0.2136,0.0358573,0.0112,1,0.478579,0.011572,0.15791,0.649183
697950559,19,0.2136,0.04466,0.0139,1,0.552018,0.011231,0.150817,0.715078
697950559,20,0.2138,0.0602273,0.0121,1,0.748051,0.01073,0.149174,0.909027
697950559,21,0.214,0.0811627,0.0141,1,0.948772,0.009969,0.145687,1.10537
697950559,22,0.2142,0.08698,0.0098,1,1.14893,0.01081,0.143543,1.30474
697950559,23,0.2144,0.116269,0.0111,1,1.25252,0.009548,0.139946,1.40293
697950559,24,0.2147,0.140022,0.0137,1,1.62768,0.01023,0.144835,1.78407
697950559,25,0.2148,0.12813,0.0126,1,1.39379,0.009889,0.143302,1.54803
697950559,26,0.2149,0.140858,0.0144,1,1.4291,0.009498,0.144554,1.58423
697950559,27,0.215,0.141259,0.0149,1,1.51586,0.009989,0.145526,1.67262
697950559,28,0.2152,0.145281,0.0113,1,1.48679,0.009498,0.138974,1.63624
697950559,29,0.4101,0.146024,0.0113,1,1.66102,0.01039,0.146428,1.81921
697950559,30,0.4102,0.146906,0.0114,1,1.59463,0.010009,0.144554,1.75026
697950559,31,0.4102,0.165855,0.0132,1,1.89102,0.01036,0.141018,2.04376
697950559,32,0.4102,0.168639,0.0137,1,1.77654,0.009909,0.142311,1.92982
697950559,33,0.4102,0.17687,0.0111,1,2.00469,0.01004,0.144915,2.16086
697950559,34,0.4102,0.202472,0.0108,1,2.21698,0.009999,0.142991,2.37087
697950559,35,0.4102,0.186421,0.0106,1,2.05146,0.009508,0.138243,2.20019
697950559,36,0.4102,0.218519,0.0109,1,2.27188,0.010059,0.139735,2.42285
697950559,37,0.4102,0.211236,0.0108,1,2.16458,0.01008,0.145736,2.32161
697950559,38,0.4102,0.194541,0.0124,1,2.05016,0.009939,0.145897,2.20732
697950559,39,0.4102,0.215613,0.0113,1,2.17031,0.009298,0.143152,2.3237
697950559,40,0.4102,0.200809,0.0115,1,2.07843,0.009939,0.145096,2.2348
697950559,41,0.4102,0.196101,0.0108,1,2.17014,0.009208,0.137441,2.31773
697950559,42,0.4102,0.207393,0.0106,1,2.14291,0.008877,0.135738,2.28834
697950559,43,0.4102,0.191314,0.0098,1,1.88288,0.009908,0.146208,2.04013
697950559,44,0.4102,0.218723,0.0111,1,3.16194,0.006092,0.092976,3.26219
697950559,45,0.4102,0.219437,0.0108,1,2.18762,0.01054,0.149423,2.34896
697950559,46,0.4103,0.209222,0.0108,1,2.1659,0.009989,0.142241,2.31922
697950559,47,0.4102,0.22171,0.0108,1,3.00681,0.009438,0.125017,3.14257
697950559,48,0.4102,0.239313,0.0112,1,2.42183,0.009819,0.132872,2.56546
697950559,49,0.4102,0.210386,0.0104,1,2.40998,0.01021,0.143031,2.56443
697950559,50,0.4102,0.215236,0.0111,1,3.12503,0.009158,0.141739,3.27719
697950559,51,0.4102,0.215956,0.0111,1,2.27395,0.009619,0.146167,2.43087
697950559,52,0.4102,0.242217,0.0111,1,2.35991,0.01025,0.146749,2.51806
697950559,53,0.4102,0.202614,0.0113,1,2.29956,0.010129,0.14729,2.45815
697950559,54,0.4102,0.259159,0.0108,1,2.60521,0.009088,0.152289,2.76755
697950559,55,0.4102,0.235561,0.013,1,2.59395,0.010169,0.139225,2.74454
697950559,56,0.4102,0.234701,0.0109,1,2.49105,0.009899,0.144394,2.6466
697950559,57,0.4102,0.218181,0.0102,1,2.21432,0.009959,0.142862,2.36808
697950559,58,0.4102,0.232281,0.0105,1,2.88174,0.009949,0.14741,3.04024
697950559,59,0.4102,0.208155,0.0108,1,2.17814,0.009899,0.141569,2.33077
697950559,60,0.4102,0.233192,0.0137,1,2.35206,0.009248,0.135878,2.49811
697950559,61,0.4102,0.258614,0.0108,1,2.7408,0.010109,0.143824,2.89595
697950559,62,0.4102,0.246107,0.011,1,2.84649,0.01013,0.141879,3.00002
697950559,63,0.4102,0.240369,0.0109,1,2.35898,0.009217,0.137811,2.50691
697950559,64,0.4102,0.217404,0.0113,1,3.10428,0.006422,0.091875,3.20376
697950559,65,0.4102,0.250392,0.011,1,2.72114,0.01051,0.16335,2.89625
697950559,66,0.4102,0.245993,0.0108,1,2.71204,0.009839,0.143042,2.86579
697950559,67,0.4102,0.229172,0.0106,1,2.48718,0.009909,0.150716,2.64925
697950559,68,0.4102,0.223867,0.0108,1,2.29626,0.010731,0.140156,2.44841
697950559,69,0.4102,0.263231,0.0111,1,2.80799,0.01038,0.145887,2.96547
