seed,generation,best_fitness,mean_fitness,worst_fitness,num_species,best_nodes,best_connections,avg_nodes,avg_connections,time_eval_ms,time_speciate_ms,time_reproduce_ms,time_total_ms
1150628275,0,2858.56,1394.39,469.401,1,9,14,9,14,137.001,0.052197,0.682082,137.748
1150628275,1,4054.36,1673.88,66.1496,1,9,14,9.02667,14.0133,189.225,0.037274,0.882103,190.159
1150628275,2,4965.69,1861.85,677.142,1,9,14,9.05333,13.9933,107.125,0.030939,0.750477,107.919
1150628275,3,9792.55,2181.87,202.658,1,9,14,9.02667,13.84,169.875,0.024885,0.44152,170.351
1150628275,4,8988.75,2420.49,291.979,1,9,14,9.01333,13.9333,110.059,0.03477,0.731177,110.838
1150628275,5,10164.1,2684.65,153.357,1,9,14,9.04,13.92,153.64,0.034324,0.701082,154.388
1150628275,6,14693.9,3394.51,837.706,1,9,14,9.08667,14.0933,124.327,0.037333,0.855417,125.234
1150628275,7,14643.4,3915.62,988.693,1,9,14,9.06,13.9867,216.918,0.027996,0.412353,217.37
1150628275,8,15205.2,4439.36,1047.01,1,9,14,9.01333,13.9467,191.403,0.033778,0.687837,192.138
1150628275,9,14741.4,5004.15,695.836,1,9,14,9.02,13.98,126.594,0.033587,0.691449,127.332
1150628275,10,15548.1,5793.09,1009.65,1,9,13,9.01333,13.9333,150.544,0.024249,0.415595,150.996
1150628275,11,15519,6563.17,1037.22,1,9,14,9.03333,13.9,154.019,0.034068,0.748733,154.814
1150628275,12,15569.2,6842.97,1032.87,1,9,13,9.06,13.9467,124.566,0.034667,0.691055,125.304
1150628275,13,15506.9,7186.33,176.3,1,9,14,9.05333,13.8467,168.123,0.032784,0.727654,168.896
1150628275,14,15716.9,6411.79,971.257,1,9,14,9.05333,13.6667,118.363,0.04903,0.922454,119.351
1150628275,15,15716.9,8301.76,124.436,1,9,14,9.03333,13.5267,159.503,0.034761,0.721935,160.273
1150628275,16,15564.8,7847.75,873.068,1,9,13,9.05333,13.4,116.186,0.034024,0.728088,116.961
1150628275,17,15564.8,7915.34,878.018,1,9,13,9.01333,13.2733,154.496,0.036019,0.719104,155.266
1150628275,18,15678.1,7985.63,1096.26,1,9,12,9.04,13.1667,115.922,0.034242,0.70593,116.675
1150628275,19,15678.1,8491.28,1127.29,1,9,12,9.03333,13.08,151.058,0.048441,0.891457,152.016
1150628275,20,15637.3,9272.84,778.045,1,9,12,9.03333,13.1333,117.525,0.034824,0.700218,118.273
1150628275,21,15653.9,9462.05,961.959,1,9,13,9.02,13.08,157.929,0.030641,0.456305,158.426
1150628275,22,15716.9,9365.7,955.106,1,9,14,9.04,12.92,124.712,0.034506,0.690731,125.45
1150628275,23,15716.9,10228,1140.18,1,9,14,9.02667,13.04,142.888,0.028059,0.455601,143.382
1150628275,24,15667.3,9249.64,1008.91,1,9,13,9.06,13.14,131.846,0.034192,0.712086,132.605
1150628275,25,15667.3,9467.7,814.618,1,9,13,9.08667,12.9933,136.343,0.027094,0.456029,136.837
1150628275,26,15666.2,9419.91,935.026,1,9,12,9.09333,12.8533,134.865,0.035507,0.749409,135.663
1150628275,27,15663.5,9981.09,913.629,1,9,13,9.02,12.7333,138.761,0.036473,0.723579,139.532
1150628275,28,15663.5,9934.62,225.044,1,9,13,9.02,12.6933,178.029,0.034499,0.70445,178.781
1150628275,29,15672.4,10073.8,927.304,1,9,13,9.08667,12.6933,126.746,0.033515,0.733336,127.525
1150628275,30,15614.2,9876.44,1032.91,1,9,12,9.06,12.58,152.774,0.024124,0.41435,153.223
1150628275,31,15608.6,10009.4,41.0513,1,9,12,9.02,12.3933,116.706,0.033808,0.742675,117.496
1150628275,32,15609.3,9181.57,41.6729,1,9,12,9.05333,12.46,153.191,0.023193,0.438586,153.663
1150628275,33,15613.8,9970.85,53.7268,1,9,12,9.03333,12.5133,128.003,0.035937,0.760031,128.812
1150628275,34,15615.5,9495.12,909.826,1,9,12,9.07333,12.5267,138.014,0.034387,0.718507,138.78
1150628275,35,15636.6,9242.75,101.682,1,9,12,9.02667,12.6133,184.961,0.035641,0.89247,185.903
1150628275,36,15634.4,10123.3,953.018,1,9,12,9.02667,12.5667,120.426,0.035247,0.711706,121.186
1150628275,37,15688,8926.74,915.322,1,10,14,9.06667,12.6667,151.66,0.026016,0.466378,152.164
1150628275,38,15629.4,10084.4,224.435,1,9,11,9.16667,12.8333,109.772,0.034291,0.727688,110.547
1150628275,39,15629.4,9995.86,279.845,1,9,11,9.11333,12.6,158.486,0.04052,0.451739,158.99
1150628275,40,15674.9,10191.5,735.098,1,9,13,9.14667,12.3933,133.987,0.03506,0.739494,134.773
1150628275,41,15643.9,10665.4,965.082,1,9,13,9.12667,12.5,137.387,0.023994,0.459072,137.88
1150628275,42,15666,9630.21,543.208,1,9,12,9.16,12.4067,117.71,0.034146,0.723934,118.48
1150628275,43,15705.4,10548.3,867.018,1,9,13,9.22667,12.3933,143.452,0.031274,0.474878,143.969
1150628275,44,15647.4,10666.2,524.014,1,9,13,9.34,12.3267,113.149,0.040196,0.860649,114.068
1150628275,45,15627.8,10601.7,994.709,1,9,12,9.44667,12.44,156.944,0.027952,0.446808,157.432
1150628275,46,15658.3,11266.9,1032.23,1,9,11,9.3,12.1267,119.369,0.035366,0.806023,120.224
1150628275,47,15628.8,9998.85,966.041,1,10,13,9.44667,12.2733,154.545,0.037042,0.547969,155.144
1150628275,48,15674.8,10708.3,786.71,1,9,12,9.47333,12.5467,132.955,0.035112,0.819906,133.824
1150628275,49,15659.9,9236.58,923.794,1,9,12,9.40667,12.48,144.038,0.026356,0.520108,144.596
1150628275,50,15667.6,10879,944.901,1,9,12,9.53333,12.7133,131.218,0.036532,0.882091,132.15
