seed,generation,best_fitness,mean_fitness,worst_fitness,num_species,best_nodes,best_connections,avg_nodes,avg_connections,time_eval_ms,time_speciate_ms,time_reproduce_ms,time_total_ms
1166919555,0,41.2,6.619,3,1,24,63,24,63,84.6818,0.226577,18.5259,103.547
1166919555,1,52.2567,13.4567,3,1,24,63,24.074,63.028,78.4096,0.482215,10.4374,89.4192
1166919555,2,90.275,20.9644,3,1,24,63,24.12,63.004,133.707,0.419482,16.8002,151.033
1166919555,3,68.3217,21.8029,3,1,24,63,24.146,62.996,96.2841,0.382464,10.7161,107.468
1166919555,4,80.83,21.8855,3,1,25,64,24.194,62.952,131.668,0.386207,10.3976,142.547
1166919555,5,91.1767,22.4643,3,1,24,63,24.182,62.848,133.579,0.382997,11.6008,145.65
1166919555,6,71.0817,22.5149,3,1,24,63,24.26,62.722,128.363,0.398613,13.7692,142.63
1166919555,7,90.11,23.2863,3,1,24,63,24.248,62.52,105.837,0.389821,8.61419,114.934
1166919555,8,112.48,25.2728,3,1,24,58,24.252,62.208,105.036,0.375412,11.073,116.577
1166919555,9,115.2,24.8255,3,1,24,62,24.272,61.828,101.683,0.37619,16.9565,119.104
1166919555,10,115.2,25.7085,3,1,25,66,24.336,61.792,179.301,0.438079,16.0559,195.896
1166919555,11,121.005,26.9365,3,1,24,61,24.39,61.404,116.579,0.431699,12.2487,129.35
1166919555,12,120.732,27.3942,3,1,24,60,24.448,60.674,133.335,0.297853,9.3591,143.095
1166919555,13,99.6967,27.2007,3,1,25,60,24.562,60.352,145.217,0.391923,15.1234,160.831
1166919555,14,107.713,27.6234,3,1,24,62,24.612,60.112,134.13,0.398034,17.208,151.827
1166919555,15,120.73,27.359,3,1,24,62,24.694,59.478,160.744,0.527209,11.2369,172.606
1166919555,16,111.355,25.8711,3,1,25,57,24.846,58.962,125.818,0.558739,10.7304,137.198
1166919555,17,119.287,27.1615,3,1,25,59,24.918,58.368,123.427,0.393743,10.8447,134.754
1166919555,18,89.9533,28.0431,3,1,24,51,25.176,57.478,131.462,0.413125,11.231,143.193
1166919555,19,107.622,27.4976,3,1,24,53,25.112,56.088,138.402,0.551201,10.5185,149.57
1166919555,20,116.257,28.725,3,1,26,58,25.102,55.482,107.615,0.569591,25.297,133.578
1166919555,21,115.2,28.0388,3,1,25,56,25.146,55.084,125.504,0.401591,51.2676,177.276
1166919555,22,107.53,29.0468,3,1,25,54,25.144,54.638,92.1242,0.392169,19.1728,111.78
1166919555,23,112.48,30.5947,3,1,24,52,25.158,54.092,98.1716,0.534339,13.3957,112.205
1166919555,24,119.99,29.1634,3,1,25,53,25.07,53.168,152.417,0.422297,19.6136,172.547
1166919555,25,112.48,27.8207,3,1,24,52,25.162,52.56,124.464,2.43219,11.1601,138.149
1166919555,26,69.5483,29.1045,3,1,25,56,25.122,51.506,100.496,0.414885,11.2187,112.236
1166919555,27,112.477,29.3429,3,1,24,48,25.164,50.644,121.995,0.403574,13.134,135.626
1166919555,28,120.73,29.3839,3,1,28,56,25.194,49.94,127.384,0.474636,16.5228,144.489
1166919555,29,121.005,29.2508,3,1,25,46,25.46,49.874,120.977,0.414239,24.396,145.882
1166919555,30,120.868,29.7902,3,1,27,55,25.326,49.408,99.3785,0.470779,12.9936,112.942
1166919555,31,121.005,30.5607,3,1,24,45,25.15,48.566,123.496,0.415747,22.552,146.563
1166919555,32,120.427,29.408,3,1,24,48,25.12,48.048,123.916,0.401713,28.7694,153.185
1166919555,33,107.622,29.1048,3,1,24,47,24.93,46.224,114.71,0.399648,12.6597,127.86
1166919555,34,121.005,29.1179,3,1,25,46,24.826,45.18,103.083,0.280134,10.4232,113.878
1166919555,35,120.868,30.2087,3,1,24,47,24.858,44.44,141.471,0.513381,11.8423,153.918
1166919555,36,121.005,29.4368,3,1,25,42,24.912,43.48,127.831,0.581696,11.3038,139.82
1166919555,37,121.005,30.0576,3,1,26,45,24.964,42.472,120.775,1.41823,11.7003,133.99
1166919555,38,120.958,28.8794,3,1,24,45,25.102,42.092,125.882,0.416814,12.2544,138.652
1166919555,39,119.745,30.1284,3,1,24,40,25.376,42.57,132.503,0.426062,12.5158,146.016
1166919555,40,121.005,29.3015,3,1,25,39,25.35,42.062,116.374,0.406946,12.6613,129.53
1166919555,41,121.005,28.9144,3,1,25,39,25.446,41.458,112.964,0.285962,11.3158,124.649
1166919555,42,120.168,30.267,3,1,24,39,25.446,40.768,138.55,0.422915,11.4755,150.55
1166919555,43,121.005,29.4559,3,1,25,35,25.69,41.266,125.23,0.737251,13.2594,139.325
1166919555,44,119.378,29.5014,3,1,25,36,25.814,41.432,128.056,0.413206,14.5518,143.113
1166919555,45,121.005,27.9363,3,1,25,35,25.806,40.74,118.771,0.422737,11.4615,130.757
1166919555,46,149.74,28.7043,3,1,28,47,25.732,39.906,151.262,0.444126,11.8336,163.64
1166919555,47,121.005,27.7186,3,1,28,48,25.692,38.856,115.686,0.425792,11.8865,128.096
1166919555,48,120.868,29.3475,3,1,25,37,25.848,38.98,118.745,0.42177,19.9214,139.183
1166919555,49,149.772,29.9987,3,1,25,33,25.78,38.668,120.375,0.411663,11.5756,132.452
1166919555,50,120.78,30.1468,3,1,25,36,25.892,38.958,126.076,0.435314,12.0482,138.658
1166919555,51,139.473,28.2764,3,1,25,37,25.796,38.674,127.794,0.406931,12.2086,140.509
1166919555,52,120.868,30.9205,3,1,25,40,25.808,38.206,127.631,0.482607,12.5028,140.712
