seed,generation,best_fitness,mean_fitness,worst_fitness,num_species,time_eval_ms,time_speciate_ms,time_reproduce_ms,time_total_ms
960671649,0,36.325,6.75474,3,1,2.81419,0.111362,2.97715,5.91934
960671649,1,37.2233,13.5716,3,1,3.47609,0.151548,2.84313,6.47454
960671649,2,84.2,20.1013,3,1,4.01674,0.154964,3.10171,7.27881
960671649,3,89.9967,20.6366,3,1,3.74675,0.232932,2.97734,6.96145
960671649,4,69.2,20.629,3,1,4.13722,0.233202,3.00299,7.3784
960671649,5,90.4983,22.3607,3,1,4.16818,0.158541,3.00353,7.33415
960671649,6,89.4383,22.8697,3,1,4.33369,0.156046,2.99033,7.48552
960671649,7,137.347,24.1197,3,1,4.68977,0.162789,3.08627,7.94279
960671649,8,90.1433,24.572,3,1,5.2897,0.106212,2.80738,8.20668
960671649,9,90.42,25.586,3,1,4.91424,0.152179,3.02215,8.09218
960671649,10,99.04,26.2422,3,1,4.54946,0.161367,3.09742,7.81263
960671649,11,99.04,27.0933,3,1,5.01502,0.155686,2.84993,8.02555
960671649,12,89.8783,25.9806,3,1,4.46088,0.166546,3.05132,7.68311
960671649,13,115.2,27.0722,3,1,4.85719,0.161086,2.90916,7.9311
960671649,14,121.005,27.1204,3,1,5.0549,0.158592,2.96551,8.18259
960671649,15,121.005,26.8765,3,1,5.17743,0.154793,3.05416,8.39014
960671649,16,107.53,26.2592,3,1,4.53042,0.161276,3.1287,7.82471
960671649,17,107.53,27.1003,3,1,5.30617,0.161306,2.97934,8.45052
960671649,18,93.2,28.0657,3,1,4.87087,0.157579,3.1109,8.14438
960671649,19,112.497,28.8086,3,1,4.62143,0.243042,3.07658,7.94642
960671649,20,120.868,29.6841,3,1,5.03395,0.161947,3.09348,8.29323
960671649,21,120.822,28.6891,3,1,4.93823,0.159743,3.12708,8.22886
960671649,22,121.005,30.747,3,1,5.0196,0.170724,3.19143,8.38771
960671649,23,120.743,29.5288,3,1,4.96662,0.160094,3.15874,8.28945
960671649,24,120.743,28.4874,3,1,4.9208,0.167508,3.24959,8.34188
960671649,25,120.743,29.1608,3,1,5.12557,0.161176,3.35996,8.65065
960671649,26,120.732,27.768,3,1,4.5879,0.175303,3.29214,8.06059
960671649,27,120.868,28.5933,3,1,4.96928,0.169662,3.05242,8.1952
960671649,28,121.005,30.0415,3,1,4.75575,0.16883,3.23237,8.16077
960671649,29,120.73,31.1054,3,1,4.53593,0.162619,3.29017,7.99427
960671649,30,121.005,29.6996,3,1,5.78109,0.112073,3.09095,8.99031
960671649,31,121.005,30.5444,3,1,4.716,0.17411,3.34351,8.238
960671649,32,121.005,29.7667,3,1,5.08033,0.167748,3.16973,8.42153
960671649,33,120.905,29.0451,3,1,4.74437,0.160345,3.25978,8.16886
960671649,34,120.905,29.2513,3,1,4.98445,0.168109,3.31045,8.46715
960671649,35,120.905,30.012,3,1,4.99101,0.169271,3.54415,8.70887
960671649,36,121.005,29.5802,3,1,4.7829,0.173609,3.43434,8.39716
960671649,37,99.6433,29.1364,3,1,4.33946,0.171596,3.44642,7.962
960671649,38,115.2,27.2904,3,1,4.33316,0.174902,3.45489,7.96871
960671649,39,120.903,27.4811,3,1,4.19811,0.175874,3.55074,7.92907
960671649,40,120.73,29.8352,3,1,4.18215,0.177527,3.48582,7.85136
960671649,41,121.005,30.9399,3,1,4.53171,0.181264,3.53975,8.25722
960671649,42,120.913,29.687,3,1,4.42526,0.260424,3.412,8.10159
960671649,43,93.2,29.8208,3,1,4.4783,0.22151,3.46203,8.16597
960671649,44,112.48,29.3761,3,1,4.25256,0.241188,3.52576,8.03
960671649,45,116.425,30.2821,3,1,4.36549,0.175343,3.63613,8.18284
960671649,46,112.48,28.9368,3,1,4.261,0.175483,3.62694,8.06915
960671649,47,111.472,27.6112,3,1,4.06392,0.185772,3.71023,7.9642
960671649,48,121.005,30.1033,3,1,4.61351,0.18438,3.69542,8.4975
960671649,49,121.005,28.9451,3,1,5.48129,0.124907,3.44069,9.05092
960671649,50,107.53,27.4841,3,1,4.66731,0.180883,3.48049,8.33459
960671649,51,121.005,28.9255,3,1,4.33103,0.246068,3.5753,8.15868
960671649,52,132.275,29.7656,3,1,4.30423,0.181725,3.65967,8.15019
960671649,53,121.005,28.2523,3,1,4.38111,0.265364,3.73512,8.38637
960671649,54,93.2,27.0508,3,1,4.08217,0.184701,3.68103,7.95417
960671649,55,93.2,27.4411,3,1,4.27267,0.182657,3.70228,8.16224
960671649,56,121.005,27.7008,3,1,4.36149,0.185783,3.69003,8.24183
960671649,57,120.73,29.2511,3,1,4.63783,0.203226,3.73464,8.58023
960671649,58,121.005,28.2116,3,1,4.37755,0.284951,3.65822,8.32508
960671649,59,121.005,28.9023,3,1,4.37566,0.18996,3.68149,8.25166
960671649,60,121.005,28.5273,3,1,4.45684,0.193077,3.75341,8.409
960671649,61,121.005,27.5323,3,1,5.65589,0.12641,3.50969,9.29886
960671649,62,121.005,27.948,3,1,4.97358,0.185022,3.62045,8.78392
960671649,63,121.005,28.4833,3,1,4.31289,0.182367,3.78802,8.28787
960671649,64,121.005,27.7237,3,1,4.34302,0.183358,3.84921,8.38029
960671649,65,121.005,28.5409,3,1,4.26094,0.187637,3.79111,8.24564
960671649,66,90.6183,27.3185,3,1,4.40742,0.191323,3.75661,8.3605
960671649,67,121.005,28.2642,3,1,4.25854,0.190742,3.93494,8.38961
960671649,68,121.005,27.4522,3,1,4.08875,0.193798,4.1134,8.40206
960671649,69,126.588,27.312,3,1,3.89682,0.200782,3.91174,8.01455
960671649,70,126.588,27.3621,3,1,4.11411,0.18958,4.08779,8.39675
960671649,71,126.588,28.4854,3,1,4.03057,0.18915,3.95574,8.18029
960671649,72,126.588,26.9562,3,1,3.90993,0.18945,3.95812,8.06228
960671649,73,121.005,26.457,3,1,4.13628,0.305661,3.84923,8.29766
960671649,74,121.005,26.7193,3,1,3.90185,0.282466,3.97999,8.17078
960671649,75,93.2,27.1608,3,1,4.28738,0.226069,3.95881,8.47686
960671649,76,121.005,27.6918,3,1,4.18877,0.197345,3.93816,8.32911
960671649,77,120.73,28.9209,3,1,4.33963,0.193878,3.95522,8.49349
960671649,78,121.005,28.1611,3,1,4.13853,0.281134,3.97898,8.40425
960671649,79,107.118,28.0448,3,1,4.20731,0.195451,3.97111,8.38014
960671649,80,120.958,26.4335,3,1,3.93278,0.193167,4.00427,8.13665
960671649,81,87.395,26.5641,3,1,3.96018,0.202464,3.97307,8.1409
960671649,82,87.5983,26.8728,3,1,4.36097,0.207464,4.02994,8.60328
960671649,83,68.9217,26.1424,3,1,4.04186,0.202244,4.01489,8.26685
960671649,84,72.195,26.9736,3,1,4.14501,0.201814,4.13723,8.48924
960671649,85,121.005,25.9695,3,1,4.27839,0.205901,4.06844,8.55812
960671649,86,121.005,27.0557,3,1,4.25658,0.21093,4.15078,8.62597
960671649,87,111.288,27.4864,3,1,4.47131,0.202865,4.13166,8.81082
960671649,88,81.5467,26.6885,3,1,4.34662,0.208225,4.26056,8.82054
960671649,89,90.4433,26.6429,3,1,4.66673,0.2004,4.20221,9.07468
960671649,90,93.2,28.2476,3,1,4.54737,0.201312,4.11895,8.87254
960671649,91,112.48,28.0096,3,1,4.20014,0.200681,4.14237,8.54961
960671649,92,120.73,28.292,3,1,4.39515,0.298597,4.04846,8.74805
960671649,93,107.363,26.5627,3,1,4.13093,0.334315,4.08198,8.55252
960671649,94,68.9217,25.296,3,1,3.87741,0.208666,4.25114,8.34406
960671649,95,81.5483,25.6632,3,1,3.9825,0.209548,4.21112,8.40783
960671649,96,111.38,26.0767,3,1,4.03569,0.212664,4.18942,8.44279
960671649,97,120.77,25.3993,3,1,4.58416,0.200722,4.00523,8.79575
960671649,98,121.005,25.5457,3,1,4.46012,0.205881,4.1047,8.77523
960671649,99,112.518,25.8273,3,1,4.38627,0.212042,4.2698,8.87373
960671649,100,112.48,24.3443,3,1,4.08913,0.199919,4.23047,8.52525
960671649,101,121.005,28.5247,3,1,4.57393,0.259533,4.13996,8.97787
960671649,102,150.005,25.6541,3,1,3.95697,0.200941,4.31085,8.47358
960671649,103,121.005,27.1018,3,1,4.19024,0.299589,4.08914,8.58379
960671649,104,112.603,26.5979,3,1,4.09872,0.212403,4.23781,8.55406
960671649,105,121.005,27.9695,3,1,4.3205,0.202515,4.24786,8.77589
960671649,106,112.48,27.2629,3,1,4.36745,0.198727,4.22771,8.79898
960671649,107,112.477,25.6439,3,1,3.97275,0.209879,4.32524,8.51267
960671649,108,98.17,24.4278,3,1,4.15198,0.206773,4.28946,8.65478
960671649,109,121.005,26.6058,3,1,4.09552,0.205951,4.33657,8.64432
960671649,110,121.005,26.3407,3,1,4.11231,0.316762,4.21129,8.64655
960671649,111,121.005,26.8297,3,1,4.45192,0.212594,4.37511,9.04588
960671649,112,121.005,25.419,3,1,4.34121,0.249844,4.30452,8.90285
960671649,113,121.005,26.3532,3,1,4.42546,0.212594,4.21971,8.86289
960671649,114,121.005,26.5587,3,1,4.11089,0.210359,4.4359,8.76185
960671649,115,90.9283,26.7326,3,1,4.61744,0.205981,4.20433,9.03312
960671649,116,82.315,27.3497,3,1,4.98303,0.203026,4.44302,9.63429
960671649,117,120.73,26.9301,3,1,4.31822,0.211001,4.45426,8.99019
960671649,118,120.73,27.9091,3,1,4.76266,0.218635,4.39644,9.38278
960671649,119,150.005,28.6323,3,1,4.38826,0.219978,4.54162,9.15756
960671649,120,121.005,28.5416,3,1,4.86004,0.325718,4.20621,9.39758
960671649,121,121.005,29.1105,3,1,4.60576,0.216882,4.44298,9.2739
960671649,122,121.005,28.6958,3,1,4.31891,0.212574,4.43976,8.97692
960671649,123,121.005,28.173,3,1,5.20128,0.243463,4.30577,9.75693
960671649,124,121.005,28.2372,3,1,4.05127,0.165214,4.34845,8.57085
960671649,125,127.92,29.549,3,1,4.28987,0.217253,4.55253,9.06518
960671649,126,127.92,28.6818,3,1,4.07917,0.277597,4.39475,8.75683
960671649,127,127.92,26.8792,3,1,4.78577,0.189941,4.35059,9.33147
960671649,128,150.005,25.6667,3,1,4.19136,0.230668,4.54425,8.9721
960671649,129,150.005,30.4119,3,1,4.46001,0.224446,4.46604,9.15761
960671649,130,121.005,29.986,3,1,4.31992,0.327331,4.33612,8.9899
960671649,131,150.005,29.3648,3,1,4.26528,0.215008,4.44538,8.93075
960671649,132,120.822,28.2408,3,1,4.24821,0.213185,4.46564,8.93387
960671649,133,90.1267,28.7251,3,1,4.35768,0.207925,4.37352,8.94441
960671649,134,82.275,27.6143,3,1,3.99912,0.207274,4.3842,8.59592
960671649,135,68.3383,27.8111,3,1,4.13472,0.334115,4.32648,8.80042
960671649,136,81.4683,27.7238,3,1,4.22262,0.219667,4.48248,8.93027
960671649,137,111.288,28.3339,3,1,4.31008,0.207835,4.50034,9.02551
960671649,138,132.275,27.6791,3,1,4.42331,0.212113,4.53658,9.17842
960671649,139,120.73,28.5439,3,1,4.28973,0.218876,4.43977,8.95353
960671649,140,120.73,30.3848,3,1,4.59372,0.212663,4.46799,9.27958
960671649,141,120.73,28.8722,3,1,4.49886,0.208837,4.42229,9.13511
960671649,142,81.3283,28.7674,3,1,4.31318,0.21073,4.4381,8.96753
960671649,143,121.005,30.9387,3,1,4.52839,0.211211,4.44966,9.19502
960671649,144,120.73,28.8367,3,1,4.20948,0.213144,4.43253,8.86032
960671649,145,112.102,28.3109,3,1,4.20859,0.208396,4.55093,8.97483
960671649,146,121.005,27.7309,3,1,4.30199,0.214938,4.43501,8.95729
