nodes
id,type
0,BIAS
1,INPUT
2,INPUT
3,INPUT
4,INPUT
5,INPUT
6,INPUT
7,INPUT
8,INPUT
9,INPUT
10,INPUT
11,INPUT
12,INPUT
13,OUTPUT
14,OUTPUT
15,OUTPUT
16,HIDDEN
17,HIDDEN
18,HIDDEN
19,HIDDEN
20,HIDDEN
21,HIDDEN
22,HIDDEN
23,HIDDEN
24,HIDDEN
25,HIDDEN
26,HIDDEN
27,HIDDEN
28,HIDDEN
29,HIDDEN
30,HIDDEN
31,HIDDEN
32,HIDDEN
33,HIDDEN
34,HIDDEN
35,HIDDEN
36,HIDDEN
37,HIDDEN
38,HIDDEN
39,HIDDEN
40,HIDDEN
41,HIDDEN
42,HIDDEN
connections
from,to,weight,enabled
0,13,2.513001,1
0,14,1.2343323,1
0,15,14.449573,1
1,13,1.4559501,1
1,14,13.463524,1
1,15,19.647108,1
2,13,3.0279221,1
2,14,-1.4871374,1
2,15,16.149149,1
3,13,1.4507529,1
3,14,-0.38923066,1
3,15,0.66550282,1
4,13,-3.4957226,1
4,14,-2.0583551,1
4,15,8.8160706,1
5,13,-10.962169,1
5,14,3.4056034,1
5,15,-55.429175,1
6,13,-1.3714846,1
6,14,3.4840028,1
6,15,-9.066143,0
7,13,-11.624506,1
7,14,41.436391,1
7,15,-36.479214,1
8,13,12.173209,1
8,14,8.3834297,1
8,15,-3.8370436,1
9,13,-4.9951564,1
9,14,0.49791617,1
9,15,26.729442,1
10,13,-1.8796468,1
10,14,-1.300664,1
10,15,7.145772,1
11,13,1.1087132,1
11,14,-0.098860825,1
11,15,11.599756,1
12,13,0.10470577,1
12,14,-5.257864,1
12,15,-4.0311441,1
5,16,0.031921843,1
16,14,6.4327343,1
6,16,-0.92998347,1
17,14,-1.8564472,1
16,17,1.7076733,1
2,17,-1.7318107,1
12,17,2.0193353,1
6,17,3.0619393,1
4,17,12.40656,0
12,16,0.3238373,1
8,16,9.7119165,1
11,17,-3.748267,1
16,18,-1.3244492,1
18,14,-22.591844,1
11,16,4.1198277,1
9,17,6.2825888,1
16,15,4.131009,1
4,18,1.9406118,1
8,19,1.0771057,1
19,15,0.24082678,1
10,17,-4.3970489,1
16,20,6.3060628,1
20,18,6.1136787,1
10,18,1.3627065,1
12,21,6.2061417,1
21,16,-2.0580338,1
3,19,1.0471593,1
6,18,-2.109006,0
0,20,-1.8009109,1
3,16,-2.2108261,1
6,22,1.4855558,1
22,18,-1.3828407,1
6,23,-3.5088224,1
23,13,-1.4217607,1
1,18,6.4393029,1
2,18,2.7370978,1
19,18,0.58996801,1
6,20,0.27250833,1
24,18,18.546152,1
2,24,1.3581625,1
18,25,-1.768442,1
25,14,-0.69799347,1
7,17,0.88489285,1
16,26,-0.5535353,1
26,14,1.3534236,1
1,27,-1.8668109,1
27,18,-4.6792104,1
6,28,-1.9168087,1
28,22,-2.3429923,1
24,26,1.8591941,0
24,15,4.6860612,1
8,28,0.085281283,1
16,29,10.629871,1
29,26,11.456824,1
0,30,-0.81847897,1
30,15,3.0166863,1
10,20,3.6917369,1
12,31,-1.209305,1
31,16,-2.294245,1
12,32,9.3486889,1
32,31,-23.172472,1
32,19,-4.6172917,1
31,24,-1.3808172,1
30,27,1.6154511,1
8,33,-1.270845,1
33,13,1.2900479,1
29,30,1.4571601,1
5,34,-4.0287207,0
34,13,-18.933126,1
4,35,-0.99858916,1
35,14,2.2298331,1
21,26,-0.93969958,1
36,15,1.2228843,1
24,36,-4.6661477,1
35,27,1.0709248,1
11,24,5.5031455,1
28,14,4.7497529,1
8,36,2.9924658,1
2,21,14.140463,1
37,13,5.2552105,1
11,37,-10.407702,1
9,23,2.1688404,1
4,38,-0.020177641,1
38,13,4.9019666,1
3,26,-1.3613952,1
7,38,7.5646758,1
9,20,-2.5813359,1
4,37,-0.74737341,1
39,14,9.304798,1
35,39,0.89673186,1
37,18,1.6414536,1
8,26,-0.15681633,1
8,40,0.63305654,1
40,15,1.7534877,1
10,24,1.73226,1
22,24,3.5028005,1
26,35,-2.8113804,1
19,13,-1.2754619,1
0,41,-1.1062388,1
41,20,-1.6272319,0
24,42,3.3288719,1
42,26,-5.3749307,1
32,13,-0.25348916,1
