nodes
id,type
0,BIAS
1,INPUT
2,INPUT
3,INPUT
4,INPUT
5,INPUT
6,INPUT
7,INPUT
8,INPUT
9,INPUT
10,INPUT
11,INPUT
12,INPUT
13,OUTPUT
14,OUTPUT
15,OUTPUT
16,HIDDEN
17,HIDDEN
18,HIDDEN
19,HIDDEN
20,HIDDEN
21,HIDDEN
22,HIDDEN
23,HIDDEN
24,HIDDEN
25,HIDDEN
26,HIDDEN
27,HIDDEN
28,HIDDEN
29,HIDDEN
30,HIDDEN
31,HIDDEN
32,HIDDEN
33,HIDDEN
34,HIDDEN
35,HIDDEN
36,HIDDEN
37,HIDDEN
38,HIDDEN
39,HIDDEN
40,HIDDEN
connections
from,to,weight,enabled
0,13,-2.019167,1
0,14,-1.7452206,1
0,15,14.165105,1
1,13,-114.60663,1
1,14,-2.428404,0
1,15,6.3090482,1
2,13,1.2796943,1
2,14,-2.0577383,1
2,15,-6.1748294,1
3,13,7.9011255,1
3,14,-6.0651555,1
3,15,-2.99808,1
4,13,7.7925878,1
4,14,-0.41978265,1
4,15,10.217422,0
5,13,3.216078,1
5,14,1.608927,1
5,15,2.1905946,1
6,13,2.1860875,1
6,14,-2.0821528,1
6,15,-2.4097427,1
7,13,77.243858,1
7,14,-0.61678289,1
7,15,2.4343773,1
8,13,0.44622396,1
8,14,2.5491291,1
8,15,4.3583181,1
9,13,-27.467761,1
9,14,-1.5993054,1
9,15,2.3708491,1
10,13,-2.2785763,1
10,14,9.9739147,1
10,15,-6.7465615,1
11,13,84.30184,1
11,14,-0.4662473,1
11,15,-1.789701,1
12,13,-2.4011152,1
12,14,1.9998097,1
12,15,1.4299765,1
0,16,-1.7951899,1
16,15,-2.1702376,1
3,16,-14.560356,1
0,17,1.7001665,1
17,14,5.9703922,1
2,18,0.9496913,1
18,15,-1.7060755,1
19,15,4.6003357,1
3,19,-4.4252447,1
19,16,-1.5906143,1
11,20,-0.30302908,1
20,14,-2.5684866,1
8,21,-8.7313988,1
21,14,-2.2816456,1
19,22,18.38245,1
22,15,14.310422,1
22,14,-0.59982818,1
8,17,9.97549,1
20,18,-0.28093421,1
5,20,0.23346995,1
10,23,0.48183237,1
23,15,0.62338474,1
9,22,-2.6057734,0
24,14,66.663748,1
9,24,8.5161359,1
8,25,-1.3559604,1
25,13,1.7683445,1
26,14,11.809581,1
17,26,0.2989968,1
5,27,-10.247508,1
27,20,-3.382907,1
26,16,2.6086884,1
9,20,3.7093407,1
3,23,-8.9485744,1
23,19,1.9408018,1
6,28,13.663705,1
28,15,-1.3996278,1
23,20,1.9750968,1
10,29,2.9042673,1
29,13,0.47947548,1
5,22,-10.674837,1
18,17,3.3953906,1
17,16,-2.6495533,1
8,26,-0.78134018,0
12,16,2.6781982,1
22,28,1.5203995,1
22,20,-6.5282506,0
22,18,6.9021585,1
26,30,-0.59692931,1
30,16,-0.7279706,1
8,22,-1.4745352,1
8,27,-9.9157162,1
23,18,-0.81452495,1
5,23,11.918075,1
30,28,-12.749676,1
3,31,-2.386116,1
31,23,-2.8999955,0
16,14,5.2343237,1
1,24,5.3830931,1
31,21,-5.0862808,0
23,22,-0.30038327,1
26,21,-2.0322417,1
18,24,1.1405756,1
19,32,1.1661482,1
32,22,2.3748353,1
20,33,2.2748491,1
33,18,3.1128613,1
5,34,-9.6435907,1
34,20,9.2851892,1
4,27,-1.1732228,1
20,16,3.160254,1
4,16,4.6015333,1
18,35,4.5165166,1
35,17,2.587407,1
32,14,-30.972326,1
25,19,6.5870181,1
6,24,3.9441045,1
29,22,8.168938,1
29,30,-0.10049308,1
8,36,-0.46613865,1
36,26,-2.6480375,0
1,29,-1.7576466,1
0,23,-3.0140681,1
3,25,-1.0179647,1
10,30,6.3103442,1
11,16,6.7226451,1
19,37,-5.638188,1
37,32,-12.341757,1
29,24,4.9493469,1
1,38,3.2606909,1
38,14,3.7880356,1
5,39,1.4752985,1
39,23,6.4262395,1
40,15,-0.43228658,1
4,40,2.6448898,1
