nodes
id,type
0,BIAS
1,INPUT
2,INPUT
3,INPUT
4,INPUT
5,INPUT
6,INPUT
7,INPUT
8,INPUT
9,INPUT
10,INPUT
11,INPUT
12,INPUT
13,OUTPUT
14,OUTPUT
15,OUTPUT
16,HIDDEN
17,HIDDEN
18,HIDDEN
19,HIDDEN
20,HIDDEN
21,HIDDEN
22,HIDDEN
23,HIDDEN
24,HIDDEN
25,HIDDEN
26,HIDDEN
27,HIDDEN
28,HIDDEN
29,HIDDEN
30,HIDDEN
31,HIDDEN
32,HIDDEN
33,HIDDEN
34,HIDDEN
35,HIDDEN
36,HIDDEN
connections
from,to,weight,enabled
0,13,-74.547418,1
0,14,-6.9387579,1
0,15,74.124736,1
1,13,1.2447292,1
1,14,0.67120397,1
1,15,-4.7853681,1
2,13,3.4342397,1
2,14,7.0970224,1
2,15,1.836561,1
3,13,8.0529745,0
3,14,5.7312271,1
3,15,-2.5021586,1
4,13,3.9719775,1
4,14,1.1571771,1
4,15,-0.21469382,1
5,13,-2.8645889,1
5,14,2.2325049,1
5,15,1.0698103,1
6,13,-1.4389821,1
6,14,7.2727809,1
6,15,0.091927496,1
7,13,119.24595,1
7,14,-3.8818016,1
7,15,19.152859,1
8,13,-1.9937275,1
8,14,1.2374878,1
8,15,-5.1302083,1
9,13,-6.5072649,0
9,14,23.89403,1
9,15,1.840737,1
10,13,0.98494309,0
10,14,0.86155489,0
10,15,-3.180607,1
11,13,48.522286,1
11,14,2.5777002,1
11,15,-4.3072664,1
12,13,3.6095072,1
12,14,1.0608405,1
12,15,1.6747529,1
16,14,3.0104506,1
4,16,-3.0484869,1
5,16,-12.737229,1
12,16,10.369068,1
9,16,5.2255641,1
3,16,-3.6193065,1
8,16,0.3489698,1
1,16,-11.384885,1
11,16,0.066073325,1
0,16,1.1518871,0
6,16,4.6691896,1
2,16,-1.7053706,1
7,17,0.86141188,1
17,14,-6.1816413,1
1,18,1.2313764,1
18,15,-1.4215545,1
19,15,-1.7356523,1
4,19,-1.3271181,1
0,19,-3.9325785,1
8,17,0.32842391,1
9,18,0.15610806,1
11,18,1.4978415,1
8,20,-1.191049,1
20,16,-2.0056193,1
3,18,-1.4104503,1
0,17,5.6243797,1
7,21,-8.3058999,1
21,17,1.9497206,1
5,17,2.0476411,1
12,20,2.2871891,1
4,20,0.98819747,1
19,16,2.0313306,1
2,22,-0.8430988,1
22,14,-1.0569775,1
22,15,-8.4246482,1
23,15,-7.6937999,1
19,23,8.7485562,1
22,23,6.1693808,1
24,15,12.313967,1
2,24,-5.4176518,1
12,23,-2.4898838,1
6,22,5.7740961,1
8,19,-3.9958261,1
0,22,-6.1696241,1
3,25,-0.169007,1
25,18,-1.0766222,1
22,26,-1.5296975,1
26,14,5.381616,1
3,24,-2.065157,1
11,27,0.46752333,1
27,18,0.29254245,1
3,28,10.121567,1
28,15,-3.0634873,1
7,23,1.7618702,1
27,23,-1.058854,0
11,19,5.6783393,1
3,21,3.4745614,1
9,26,0.869612,1
18,21,-2.94892,1
9,22,-1.0956215,1
25,29,-9.745385,1
29,18,-1.4930388,1
0,29,6.766443,1
28,18,0.90893862,1
7,25,-1.3327765,1
25,30,6.475538,1
30,18,1.1778422,1
26,27,3.2991452,1
3,22,8.1331986,1
11,31,0.54412974,1
31,18,7.3123739,1
29,32,-3.545586,1
32,18,14.652686,1
27,15,-1.7857958,1
22,20,-0.92870026,1
8,33,1.8498548,1
33,14,6.6786482,1
2,28,3.6574609,1
32,33,-6.155239,1
26,31,-0.14182267,1
0,33,2.047798,1
22,30,-0.76943089,1
25,16,2.5020108,1
28,25,-5.0423429,1
8,34,-2.9417355,1
34,33,3.3913055,1
4,35,-1.8645764,1
35,13,0.33810616,1
21,34,-4.1555541,1
2,36,-0.53267508,1
36,15,2.1814387,1
