nodes
id,type
0,BIAS
1,INPUT
2,INPUT
3,INPUT
4,INPUT
5,INPUT
6,INPUT
7,INPUT
8,INPUT
9,INPUT
10,INPUT
11,INPUT
12,INPUT
13,OUTPUT
14,OUTPUT
15,OUTPUT
16,HIDDEN
17,HIDDEN
18,HIDDEN
19,HIDDEN
20,HIDDEN
21,HIDDEN
22,HIDDEN
23,HIDDEN
24,HIDDEN
25,HIDDEN
26,HIDDEN
27,HIDDEN
28,HIDDEN
29,HIDDEN
30,HIDDEN
31,HIDDEN
32,HIDDEN
33,HIDDEN
34,HIDDEN
35,HIDDEN
36,HIDDEN
37,HIDDEN
38,HIDDEN
39,HIDDEN
40,HIDDEN
41,HIDDEN
42,HIDDEN
43,HIDDEN
44,HIDDEN
45,HIDDEN
46,HIDDEN
47,HIDDEN
48,HIDDEN
49,HIDDEN
connections
from,to,weight,enabled
0,13,-55.650496,1
0,14,3.4180391,1
0,15,5.4737392,1
1,13,-23.25845,1
1,14,-8.950195,1
1,15,-1.9717099,1
2,13,-3.6044591,1
2,14,1.610565,1
2,15,0.24586501,1
3,13,-6.0300231,1
3,14,-5.9007304,1
3,15,1.9814073,1
4,13,-1.8141969,1
4,14,1.6928249,1
4,15,2.8967774,1
5,13,-3.3506019,1
5,14,0.80982098,1
5,15,7.0178482,1
6,13,-0.95411614,1
6,14,7.0393498,1
6,15,1.8470342,1
7,13,119.20084,1
7,14,1.9605701,1
7,15,-2.4775973,1
8,13,5.5215603,1
8,14,6.9326664,1
8,15,-2.9883342,1
9,13,-16.890346,1
9,14,20.733068,1
9,15,1.546676,1
10,13,-0.83372684,1
10,14,1.5418659,1
10,15,-1.3984714,1
11,13,55.28745,1
11,14,-6.9985455,1
11,15,-3.0576986,1
12,13,1.4941153,1
12,14,0.94723627,1
12,15,0.49739519,1
7,16,5.2172633,1
16,15,-2.0917937,1
2,17,-7.1882838,1
17,15,5.1017472,1
4,16,1.557112,1
17,14,-2.7743673,1
18,15,-1.3611107,1
9,18,1.1749246,1
16,18,1.7060441,1
9,19,-0.70697932,1
19,14,7.782835,1
2,20,-0.52344875,1
20,17,-1.3029794,1
10,21,12.054297,1
21,13,-0.16905748,1
18,17,0.65226829,1
0,22,6.9848093,1
22,14,3.6118875,1
5,19,-1.1550022,0
16,17,5.8804405,0
1,18,5.93109,1
18,14,13.704403,0
20,18,-7.8157263,1
5,22,-3.1635017,1
7,23,-0.72542525,1
23,14,1.6700035,1
24,14,1.9394355,1
8,24,-6.0386224,1
12,23,-1.8507101,1
19,21,-7.5912588,1
0,25,10.508527,1
25,22,1.9991566,1
16,26,5.0937664,1
26,18,1.48749,1
4,18,5.0193698,1
0,19,4.301859,1
8,25,3.5387427,1
22,27,2.3441777,1
27,14,3.0062752,1
10,18,-12.349513,1
28,14,-0.18543839,1
24,28,-1.2086292,1
1,24,-2.5383659,1
26,27,0.69300703,1
7,26,6.9076619,1
16,29,1.0849479,1
29,15,0.39035179,1
27,18,-0.51383305,1
6,30,-3.4983196,1
30,15,-2.6397099,1
28,18,-2.229852,1
11,23,1.4295913,1
27,31,-2.0428226,1
31,18,7.0591182,1
29,24,10.043534,1
10,16,9.4597627,1
5,26,-3.0708092,1
12,19,1.5039227,1
26,24,3.6773111,1
23,30,2.9230988,1
30,32,2.2803798,1
32,15,1.9522175,1
1,25,-7.8275428,1
16,31,-1.4596331,1
2,19,-1.1334661,1
33,14,-1.4301655,1
1,33,0.74710229,1
23,19,0.9759778,1
6,24,0.4944162,1
32,17,-1.4948177,1
6,17,2.3100942,1
7,34,0.74753908,1
34,16,-0.53828102,1
0,35,-3.9114693,1
35,15,-5.1163679,1
36,15,-0.408955,1
32,36,1.7936346,1
23,22,-0.58398294,1
21,32,-1.4555675,1
35,30,5.6310091,1
22,37,-2.7587914,1
37,14,-14.446513,1
2,26,-5.2211966,1
9,38,5.6714129,1
38,18,3.372733,1
21,36,1.6792082,1
3,21,12.211115,1
9,23,16.056886,1
3,39,3.2913564,1
39,15,-2.4423063,1
20,40,-2.1876723,1
40,17,1.8201483,1
20,25,-2.3928455,1
6,37,-5.3678963,1
24,41,-6.1224883,1
41,28,0.35716563,1
22,24,4.3607597,1
25,21,2.8869169,1
40,15,5.362144,1
10,42,-8.2914818,1
42,21,-2.1201449,1
32,26,-9.4816747,1
7,21,-0.39149002,1
5,43,0.63678874,1
43,13,-1.1024386,1
18,44,3.7197911,1
44,17,-11.102142,1
11,42,-0.3795366,1
43,38,0.96178418,1
10,23,0.70008752,1
1,16,-10.522711,1
35,34,4.6880634,1
32,38,-2.9066635,1
7,45,1.2594328,1
45,14,2.3305404,1
1,28,7.6705641,1
6,46,-0.92162063,1
46,17,-0.05852235,1
23,25,1.5082671,1
30,47,-0.22186901,1
47,15,-0.78507873,1
0,39,3.6332122,1
25,27,1.2958595,1
9,48,0.21648674,1
48,38,-2.6821385,1
20,49,1.4379928,1
49,40,5.8356998,1
37,48,-0.63848623,1
12,36,-0.59590973,1
