nodes
id,type
0,BIAS
1,INPUT
2,INPUT
3,INPUT
4,INPUT
5,INPUT
6,INPUT
7,INPUT
8,INPUT
9,INPUT
10,INPUT
11,INPUT
12,INPUT
13,OUTPUT
14,OUTPUT
15,OUTPUT
16,HIDDEN
17,HIDDEN
18,HIDDEN
19,HIDDEN
20,HIDDEN
21,HIDDEN
22,HIDDEN
23,HIDDEN
24,HIDDEN
25,HIDDEN
26,HIDDEN
27,HIDDEN
28,HIDDEN
29,HIDDEN
30,HIDDEN
31,HIDDEN
32,HIDDEN
33,HIDDEN
34,HIDDEN
35,HIDDEN
36,HIDDEN
37,HIDDEN
38,HIDDEN
39,HIDDEN
40,HIDDEN
41,HIDDEN
42,HIDDEN
43,HIDDEN
connections
from,to,weight,enabled
0,13,2.2484272,1
0,14,5.8883876,1
0,15,8.7420426,0
1,13,1.3368241,1
1,14,-0.34547504,1
1,15,0.51075519,1
2,13,-0.91347691,1
2,14,-0.19302243,1
2,15,-1.5859289,1
3,13,-0.53615676,1
3,14,2.4626962,1
3,15,2.4138222,1
4,13,7.6914218,1
4,14,-0.95850819,1
4,15,0.72898559,1
5,13,-0.56888809,1
5,14,-3.1492904,1
5,15,74.297059,1
6,13,1.5289536,1
6,14,-0.098744939,1
6,15,-1.477559,1
7,13,1.7481297,1
7,14,-112.29982,1
7,15,-4.42702,1
8,13,0.9405546,1
8,14,0.67131763,1
8,15,-1.2809564,1
9,13,-25.990444,1
9,14,87.193339,1
9,15,-8.5822086,1
10,13,-8.3733477,1
10,14,2.602164,1
10,15,4.6314107,1
11,13,-7.2721361,1
11,14,3.7310704,1
11,15,-0.3496413,1
12,13,0.48732372,0
12,14,-4.1506642,1
12,15,1.9492204,1
16,15,-6.3168259,1
2,16,11.303814,1
12,16,-6.4227202,1
3,16,-0.39602872,1
4,16,4.9702718,1
7,16,0.23194019,1
10,16,-7.1809403,1
8,16,3.3321606,1
11,16,-5.0134622,1
0,16,1.7667227,1
9,16,8.3770589,1
3,17,5.0617778,1
17,14,2.64136,1
5,17,1.2297472,1
6,16,4.684208,1
5,16,-1.2748069,0
4,17,-17.475123,1
2,18,-0.049814532,1
18,13,7.3136752,1
6,19,-1.2941334,1
19,14,1.0225723,1
17,16,5.2217282,1
10,20,0.75535629,0
20,15,0.81890807,1
2,21,0.72196528,1
21,13,-8.2770719,1
21,17,1.4142509,1
7,20,0.87075298,1
10,22,1.9078504,1
22,16,-1.6914833,1
6,22,-5.0532273,1
6,23,-7.9138889,1
23,14,-1.3020986,1
10,24,-0.15422099,1
24,20,-0.41672599,1
6,25,-2.2101929,1
25,22,-7.1282601,1
26,16,-1.83769,1
12,26,8.2780935,1
8,20,1.3482014,1
18,20,-0.67364467,1
2,22,0.061569868,0
4,27,2.2066944,1
27,15,-0.012152096,1
25,28,-0.42007857,1
28,22,1.4065314,1
6,24,0.49943696,1
25,13,6.8900936,1
10,25,-3.5350346,1
23,19,2.4735834,1
29,15,9.2114223,1
11,29,-9.3067874,1
2,29,5.509997,1
10,30,-0.9548191,1
30,22,0.49715687,1
18,26,-1.569819,1
24,14,3.0747882,1
10,31,0.55302531,1
31,24,0.38106881,1
24,21,-0.96400409,1
0,28,-3.1334822,1
0,30,5.5174842,1
10,32,4.0482067,1
32,30,7.8706973,1
26,29,2.5554304,1
31,17,-0.95470771,1
8,24,0.44723795,1
33,13,2.4758168,1
3,33,0.77045942,1
32,28,-5.389058,1
0,34,6.9840489,1
34,30,3.1194149,1
12,35,0.9683815,1
35,26,0.042594465,1
23,13,-0.7302244,1
24,36,-4.9313981,1
36,21,-2.8397418,1
11,17,-4.5824718,1
28,20,-0.35707606,1
12,37,-7.6788459,1
37,35,3.8833977,1
38,13,-8.6787125,1
8,38,-6.854055,1
6,39,0.81212611,1
39,13,-0.77460934,1
24,33,5.9395386,1
35,40,6.0395272,1
40,26,2.9454903,1
20,26,2.9969855,1
40,41,-5.1771405,1
41,26,0.20077473,1
24,42,1.3895714,1
42,33,1.4897697,1
32,18,0.87845102,1
33,34,0.013950293,1
1,43,-6.9929023,1
43,14,-0.73133425,1
