nodes
id,type
0,BIAS
1,INPUT
2,INPUT
3,INPUT
4,INPUT
5,INPUT
6,INPUT
7,INPUT
8,INPUT
9,INPUT
10,INPUT
11,INPUT
12,INPUT
13,OUTPUT
14,OUTPUT
15,OUTPUT
16,HIDDEN
17,HIDDEN
18,HIDDEN
19,HIDDEN
20,HIDDEN
21,HIDDEN
22,HIDDEN
23,HIDDEN
24,HIDDEN
25,HIDDEN
26,HIDDEN
27,HIDDEN
28,HIDDEN
29,HIDDEN
30,HIDDEN
31,HIDDEN
32,HIDDEN
33,HIDDEN
34,HIDDEN
35,HIDDEN
36,HIDDEN
37,HIDDEN
38,HIDDEN
39,HIDDEN
40,HIDDEN
41,HIDDEN
42,HIDDEN
43,HIDDEN
44,HIDDEN
45,HIDDEN
46,HIDDEN
47,HIDDEN
connections
from,to,weight,enabled
0,13,-58.807592,1
0,14,78.274043,1
0,15,9.9825169,1
1,13,-3.3751819,1
1,14,-2.5457098,1
1,15,-2.3989305,1
2,13,-5.8732884,1
2,14,-0.75644534,1
2,15,-3.2175101,1
3,13,-3.4137149,1
3,14,-10.223467,1
3,15,1.4460676,1
4,13,4.4701006,1
4,14,9.5330644,1
4,15,12.562448,1
5,13,0.82765334,1
5,14,0.17189422,1
5,15,-0.45177573,1
6,13,-0.10395738,1
6,14,12.132895,1
6,15,4.3793246,1
7,13,113.13469,1
7,14,5.0985301,1
7,15,1.6459943,1
8,13,2.1518717,1
8,14,0.46785166,1
8,15,-1.0523548,1
9,13,-7.3842631,1
9,14,-0.36345502,1
9,15,0.45349113,1
10,13,-1.9715393,1
10,14,-1.3599246,1
10,15,-10.972252,1
11,13,59.315075,1
11,14,-3.3065904,1
11,15,3.0138875,1
12,13,1.2192227,1
12,14,-1.6265941,1
12,15,3.9051196,1
6,16,-3.4214014,1
16,15,-2.3283543,1
12,16,-0.85547839,1
5,16,-4.7281629,1
7,16,3.9232384,1
5,17,2.4235965,1
17,16,-1.4119408,1
0,18,0.99700589,1
18,15,-0.41600994,1
2,19,1.7377587,1
19,15,0.011254253,1
4,20,-2.4125493,1
20,14,-1.3177833,1
7,18,1.4828739,1
6,19,0.38822726,1
19,18,-3.4974653,1
19,16,-3.4113065,1
3,21,-6.8028324,1
21,14,-0.022935465,1
9,20,0.19623168,1
12,21,1.7080621,1
11,21,-21.016819,1
17,22,-12.242701,1
22,16,3.1788788,1
12,23,-3.7855598,1
23,21,-1.3238962,1
10,20,-6.2603063,0
12,24,-7.7022747,1
24,15,-0.24729028,1
7,25,-7.7412741,1
25,18,-4.4317637,1
12,20,13.609361,1
26,16,6.5011203,1
5,26,0.47029213,1
3,17,-0.98772131,1
21,19,5.6419192,1
2,27,-5.9460521,1
27,15,-2.3651492,1
12,22,-0.50057224,1
26,17,-4.013673,1
2,28,-5.1486218,1
28,27,-3.8573516,1
5,29,-14.445052,1
29,26,6.3382672,1
28,17,1.7595673,1
12,30,-5.1570394,1
30,21,-3.5997783,1
4,16,-5.6161776,1
20,23,-2.6822448,1
28,31,-10.301932,1
31,27,13.160877,1
26,32,-0.72061754,1
32,16,8.6769647,1
5,23,4.4461252,1
5,33,-2.6032002,1
33,13,-3.4453554,1
24,34,3.1066534,1
34,15,11.422986,1
0,33,-1.339276,1
5,35,-0.28695533,1
35,29,-0.97397973,1
6,21,-3.6774188,1
35,28,0.6034883,1
23,27,1.6708452,1
35,17,-3.8338091,1
23,16,4.6110596,1
20,33,-5.1071874,1
36,15,3.1414668,1
19,36,1.5845513,1
12,37,-0.96024425,1
37,16,4.0652248,1
37,23,-1.679821,1
2,38,3.189723,1
38,27,0.55607953,1
5,39,0.29524484,1
39,13,0.94212904,1
5,40,0.10014093,1
40,13,1.1952184,1
4,21,-0.60599096,1
5,41,5.4392951,0
41,40,3.1214962,1
7,29,1.1927723,1
18,35,-0.62442959,1
35,42,-5.6394227,1
42,17,3.0846978,1
43,16,-0.52911573,1
22,43,2.818605,1
6,24,0.080991194,1
2,30,-2.1161084,1
11,29,0.51773469,1
28,38,2.7996364,1
28,44,-0.86785879,1
44,38,2.5701576,1
11,20,9.935278,1
28,45,0.39165585,1
45,38,-1.9363866,1
3,46,-2.6943658,1
46,15,-1.9731787,1
17,47,-0.7836967,1
47,16,7.221453,1
5,22,0.8564211,1
31,43,-4.1291225,1
