nodes
id,type
0,BIAS
1,INPUT
2,INPUT
3,INPUT
4,INPUT
5,INPUT
6,INPUT
7,INPUT
8,INPUT
9,INPUT
10,INPUT
11,INPUT
12,INPUT
13,OUTPUT
14,OUTPUT
15,OUTPUT
16,HIDDEN
17,HIDDEN
18,HIDDEN
19,HIDDEN
20,HIDDEN
21,HIDDEN
22,HIDDEN
23,HIDDEN
24,HIDDEN
25,HIDDEN
26,HIDDEN
27,HIDDEN
28,HIDDEN
29,HIDDEN
30,HIDDEN
31,HIDDEN
32,HIDDEN
33,HIDDEN
34,HIDDEN
35,HIDDEN
36,HIDDEN
37,HIDDEN
38,HIDDEN
39,HIDDEN
40,HIDDEN
41,HIDDEN
42,HIDDEN
43,HIDDEN
44,HIDDEN
45,HIDDEN
46,HIDDEN
connections
from,to,weight,enabled
0,13,-2.9666658,1
0,14,1.2557317,1
0,15,-16.566326,1
1,13,-131.49713,1
1,14,1.5944708,1
1,15,1.0372126,1
2,13,-6.5681249,1
2,14,3.9070601,1
2,15,6.1770933,1
3,13,3.9303286,1
3,14,-3.5306082,1
3,15,-7.7464137,1
4,13,-4.5182969,1
4,14,-5.6893795,1
4,15,-1.0723699,0
5,13,5.2614076,1
5,14,-1.033206,1
5,15,-3.1751771,1
6,13,1.9809202,1
6,14,0.28972621,1
6,15,2.3077379,1
7,13,13.05706,1
7,14,1.9091321,1
7,15,-0.44273232,1
8,13,-1.9957676,1
8,14,-10.941281,1
8,15,-8.5274817,1
9,13,-0.50050648,0
9,14,1.951951,1
9,15,-0.67330255,1
10,13,-6.6292564,1
10,14,7.7762364,1
10,15,0.69340446,1
11,13,75.496987,1
11,14,4.4684811,1
11,15,1.8264949,1
12,13,-5.9215622,1
12,14,1.7317784,1
12,15,-3.1022602,1
16,15,3.0108218,1
0,16,0.17047921,1
16,14,-2.4847432,1
2,16,-1.7314482,1
5,16,0.35933706,1
4,16,5.567213,0
17,15,9.1276001,1
9,17,5.3540944,1
6,16,-11.392573,1
17,16,3.1208478,1
8,17,0.22002844,1
18,14,6.2812887,1
5,18,-18.911211,1
1,19,-4.2356701,1
19,14,-1.5356955,1
19,17,1.3413472,1
2,19,7.147041,1
1,20,-28.713693,1
20,19,2.194386,1
16,13,7.516926,1
10,19,-1.0237243,1
21,14,1.2651619,1
5,21,6.7997496,1
7,21,-1.1974733,1
12,20,-3.859598,1
20,16,-1.221071,1
19,22,-1.7275225,1
22,14,6.8069305,1
2,20,-9.5868021,1
11,23,3.845418,1
23,15,1.3627171,1
5,24,-3.5640257,1
24,21,3.8672215,1
1,25,-17.528502,1
25,19,2.6248466,1
25,16,1.5946013,1
3,18,0.90553771,1
20,18,-9.9974731,1
21,17,-0.8793285,1
25,14,0.048483905,1
23,18,-4.3872853,1
18,17,-2.197317,1
18,24,2.8597368,1
20,26,-5.3350314,1
26,16,4.0165914,1
10,20,1.1276406,1
0,27,-2.7847459,1
27,16,-8.664916,1
28,15,3.6174799,1
11,28,-0.29105006,1
9,29,-2.1766183,1
29,13,5.2987934,1
28,25,0.38572464,0
1,28,3.4426993,1
5,17,0.58487835,1
1,30,-1.4711328,1
30,28,-2.9621637,1
25,13,1.1414369,1
23,17,1.4051151,1
22,24,-1.5039501,1
6,22,-0.14941137,1
8,18,-8.3837148,1
12,19,1.673898,1
20,24,-2.2152203,1
25,22,-1.4579514,1
2,31,2.7099009,1
31,15,-5.5698831,1
3,16,-1.1949733,1
0,17,1.7517577,1
19,32,-1.7076021,1
32,22,-0.56028802,1
32,16,-2.0053224,1
25,24,0.31360294,1
19,33,0.84239018,1
33,32,-0.43657204,1
5,31,-2.7741369,1
34,15,-5.8710043,1
17,34,-7.6776584,1
12,35,-3.5132043,1
35,19,-1.5778361,1
10,36,-0.23081818,1
36,13,-1.6962166,1
35,14,-1.7315938,1
19,13,7.0775576,1
7,37,0.71478967,1
37,21,-6.1798589,1
34,38,1.5870136,1
38,15,7.205254,1
3,39,2.4957619,1
39,16,11.807848,1
7,40,2.1387929,1
40,15,1.4253892,1
20,41,-4.9113247,1
41,19,6.5856617,1
7,42,-15.920099,1
42,14,1.2709488,1
4,43,-1.6299377,1
43,16,-0.20084581,1
25,44,0.94467121,1
44,16,-7.5590209,1
25,45,-5.7638538,1
45,16,0.76369515,1
8,20,2.7648313,1
39,23,4.0359818,1
33,46,11.739721,1
46,32,-1.6949531,1
