nodes
id,type
0,BIAS
1,INPUT
2,INPUT
3,INPUT
4,INPUT
5,INPUT
6,INPUT
7,INPUT
8,INPUT
9,INPUT
10,INPUT
11,INPUT
12,INPUT
13,OUTPUT
14,OUTPUT
15,OUTPUT
16,HIDDEN
17,HIDDEN
18,HIDDEN
19,HIDDEN
20,HIDDEN
21,HIDDEN
22,HIDDEN
23,HIDDEN
24,HIDDEN
25,HIDDEN
26,HIDDEN
27,HIDDEN
28,HIDDEN
29,HIDDEN
30,HIDDEN
31,HIDDEN
32,HIDDEN
33,HIDDEN
34,HIDDEN
35,HIDDEN
36,HIDDEN
37,HIDDEN
38,HIDDEN
39,HIDDEN
40,HIDDEN
41,HIDDEN
42,HIDDEN
43,HIDDEN
44,HIDDEN
45,HIDDEN
46,HIDDEN
47,HIDDEN
48,HIDDEN
49,HIDDEN
50,HIDDEN
51,HIDDEN
connections
from,to,weight,enabled
0,13,-1.9947113,1
0,14,81.371889,1
0,15,3.2142889,1
1,13,1.5240319,1
1,14,-3.4337803,1
1,15,-2.4487489,1
2,13,-0.25019808,1
2,14,-0.058336876,1
2,15,1.419013,1
3,13,-2.049628,1
3,14,-0.91820066,1
3,15,-2.0377285,1
4,13,-1.2614338,1
4,14,1.1183753,1
4,15,-2.640133,1
5,13,-1.9482162,1
5,14,1.9599371,1
5,15,-2.4277427,1
6,13,5.2919969,1
6,14,2.4881735,1
6,15,-0.36752202,1
7,13,125.02898,1
7,14,-2.5583897,1
7,15,-0.55041747,1
8,13,-2.1935681,1
8,14,5.9009798,1
8,15,-1.2409703,1
9,13,-69.050518,1
9,14,2.6899752,1
9,15,0.19366025,1
10,13,-4.2605035,1
10,14,0.081444639,1
10,15,-5.9322551,1
11,13,49.104039,1
11,14,-3.4279474,1
11,15,-2.6111576,1
12,13,-3.5803472,0
12,14,-3.8790928,1
12,15,-0.059044531,1
9,16,-0.74012979,1
16,15,0.67018403,1
4,16,-4.961481,1
6,16,-3.0543414,1
1,16,-1.9976422,1
12,16,-1.9798426,1
12,17,5.4647872,1
17,16,1.379953,1
10,16,6.9341926,1
7,16,-1.9927892,1
2,17,-3.9787514,1
12,18,0.87816424,1
18,17,-0.056291299,1
19,15,3.1954978,1
0,19,-0.0073304351,1
0,20,-5.4831059,0
20,19,-3.0112848,1
17,19,-8.5678132,1
10,20,-0.39334142,1
12,19,-6.6143224,1
18,14,-1.9714097,1
20,18,4.6442258,1
10,18,-5.404961,1
1,21,4.1347345,1
21,16,1.4479647,1
19,22,-5.5829457,1
22,15,1.5793821,1
11,19,-2.4652448,1
16,23,-1.1121617,1
23,15,2.9969183,1
9,17,0.65253686,1
8,16,-0.38912963,1
5,19,2.1961814,1
18,22,-4.3478959,1
10,19,0.39262145,0
0,24,9.7234599,1
24,15,-18.33078,0
2,23,-6.6003418,1
7,25,1.9509462,1
25,16,-5.8807645,0
10,26,1.7091087,1
26,20,-0.085809057,1
10,23,2.921085,1
9,27,3.8640379,1
27,16,-2.0052272,1
4,28,-7.2546059,1
28,16,3.1080037,1
11,27,-4.7917339,1
11,24,0.067490489,1
22,29,-0.77589654,1
29,15,-0.066160609,1
21,20,1.7290385,0
19,16,0.305315,1
25,30,-3.2821415,1
30,16,-12.12163,1
26,16,-2.2516995,1
11,31,2.2378865,1
31,24,4.0445054,1
5,23,0.50183464,1
17,14,-0.50206444,1
24,18,5.2780568,1
16,22,-12.87591,1
4,23,-4.3195263,1
31,21,-4.5608341,0
3,32,3.2711917,1
32,13,-7.7117745,0
22,14,-1.8434445,1
7,28,-0.97148337,1
32,20,1.8694044,1
7,33,-3.2713784,1
33,14,-1.7220628,1
4,34,-2.9989197,1
34,13,-3.8898091,1
33,18,3.8613272,1
10,35,-5.3211784,1
35,14,3.1780792,1
25,23,2.4867821,1
10,36,-0.6376487,1
36,19,-4.5452351,1
7,37,-0.53423325,1
37,16,-1.639887,1
4,27,-2.2014605,1
6,34,-0.84815908,1
12,24,0.24854205,0
10,38,-4.7011044,1
38,19,-0.032887628,1
33,39,-5.9211809,1
39,14,-3.7456603,1
4,40,-3.902279,1
40,27,0.65121147,1
9,41,0.578656,1
41,15,1.6470572,1
35,40,-0.87014997,1
6,25,0.21850458,1
35,42,-5.458041,1
42,14,-10.767294,1
7,43,0.085385408,1
43,37,-0.93021705,1
41,31,-1.5177638,1
33,34,-7.74776,1
4,39,5.9983528,1
3,44,-0.22155241,1
44,15,4.6488279,1
25,29,8.359807,1
31,13,-0.57576258,1
41,45,1.978753,1
45,31,2.8911222,1
35,29,-0.10185729,1
40,30,-3.9096663,1
11,46,-0.90154435,1
46,24,-0.2845565,1
31,47,0.2092981,1
47,24,-0.52699081,1
0,48,-5.6276504,1
48,24,-1.3111764,1
38,20,-0.14452824,1
17,43,3.8277204,1
25,49,-1.4731625,1
49,16,-0.62074198,1
10,47,5.0126851,1
4,50,-2.5574511,1
50,39,5.301843,1
12,51,-0.74258183,1
51,24,0.7719693,1
