nodes
id,type
0,BIAS
1,INPUT
2,INPUT
3,INPUT
4,INPUT
5,INPUT
6,INPUT
7,INPUT
8,INPUT
9,INPUT
10,INPUT
11,INPUT
12,INPUT
13,OUTPUT
14,OUTPUT
15,OUTPUT
16,HIDDEN
17,HIDDEN
18,HIDDEN
19,HIDDEN
20,HIDDEN
21,HIDDEN
22,HIDDEN
23,HIDDEN
24,HIDDEN
25,HIDDEN
26,HIDDEN
27,HIDDEN
28,HIDDEN
29,HIDDEN
30,HIDDEN
31,HIDDEN
32,HIDDEN
33,HIDDEN
34,HIDDEN
35,HIDDEN
36,HIDDEN
37,HIDDEN
connections
from,to,weight,enabled
0,13,-83.773432,1
0,14,68.22825,1
0,15,-1.4553504,1
1,13,-3.4468694,1
1,14,2.9274865,1
1,15,4.6414969,1
2,13,-0.63367875,1
2,14,-2.2252868,1
2,15,-1.2744691,1
3,13,-6.2216469,1
3,14,0.87523293,1
3,15,-2.9364079,1
4,13,3.7827682,1
4,14,3.1042803,1
4,15,6.9469931,1
5,13,-4.5381641,1
5,14,1.3249647,1
5,15,-7.605514,1
6,13,-1.733874,1
6,14,2.1475391,1
6,15,-3.7132947,1
7,13,128.58796,1
7,14,2.9046167,1
7,15,-3.4797325,1
8,13,-1.4672201,1
8,14,-0.81792874,1
8,15,0.28913932,1
9,13,1.2871357,1
9,14,-0.058381194,1
9,15,-0.86056062,1
10,13,0.35349567,0
10,14,0.56346296,0
10,15,3.773983,1
11,13,55.57631,1
11,14,-0.22535467,1
11,15,-3.9381489,1
12,13,1.2872475,1
12,14,-1.7971148,0
12,15,-6.936597,1
12,16,-4.7499938,1
16,15,-0.77970032,1
4,16,-6.444245,1
7,16,4.1193363,0
16,14,0.074180972,1
17,14,-3.2090516,1
5,17,3.1188391,1
3,17,0.40689028,1
7,18,-4.4917276,0
18,14,3.4922702,1
6,18,5.5706262,1
8,19,2.6443862,1
19,15,-3.5589624,1
19,16,-0.61743444,1
10,16,-0.19524551,0
8,18,-0.14238216,1
6,17,-1.4074056,1
1,20,1.1915111,1
20,14,2.0739388,1
5,16,0.26896643,1
2,19,9.9301139,1
17,20,-5.61623,1
20,13,2.1097387,1
17,15,1.5736937,0
6,19,-5.0332801,1
9,21,-3.5585937,1
21,14,1.0858201,1
17,22,0.64728905,1
22,15,1.8898073,1
11,23,-2.1285006,1
23,15,-0.2081569,1
18,23,-2.3958204,1
18,13,8.1933049,1
12,18,-2.0220045,0
2,16,0.29214909,1
8,17,0.26214714,0
11,18,4.0296369,1
1,16,-7.5465463,1
8,21,0.68802384,1
11,19,1.6465685,1
3,22,0.470145,1
5,24,-16.595532,1
24,14,-0.91868741,1
6,16,-4.5225148,1
1,19,0.5592203,1
12,17,-3.8155087,1
8,25,1.8392054,1
25,21,0.76816541,1
24,18,3.5730042,1
5,21,3.8507753,1
9,16,3.6526213,1
2,24,-0.84625115,0
8,20,-1.8753465,1
8,23,-1.046339,1
8,26,12.674083,0
26,19,-7.6391473,1
22,16,3.1906897,1
2,21,-16.90813,1
27,19,13.363319,1
6,27,0.41751354,1
19,28,7.678213,1
28,16,3.2208084,1
4,29,0.013678005,1
29,13,0.19875503,1
11,26,-0.58012377,1
5,30,8.0697826,0
30,16,-4.8806991,1
26,21,-2.2321512,1
25,23,4.1578475,1
6,31,11.659043,1
31,17,1.0600844,1
0,18,-0.94399706,1
29,30,2.8087599,0
21,29,-12.473637,0
11,28,-0.4227643,0
26,18,1.8978619,1
28,13,-3.3702675,1
22,19,2.092218,1
21,27,-3.3932881,1
4,23,-2.5759607,1
1,17,6.009412,1
20,26,-1.60933,1
20,32,5.1312924,0
32,26,-17.103693,1
8,28,-5.1059782,1
25,29,0.069156462,1
20,22,8.0672652,1
25,33,-0.79858372,1
33,23,-6.4113587,1
1,34,2.7251397,1
34,16,0.97138645,1
26,35,-2.014052,0
35,21,2.498897,1
3,36,0.56690139,1
36,17,0.19243947,1
29,23,-0.50034762,1
33,18,-1.7214673,1
1,31,-0.14621891,1
37,14,-0.63975631,1
17,37,0.92329885,1
