nodes
id,type
0,BIAS
1,INPUT
2,INPUT
3,INPUT
4,INPUT
5,INPUT
6,INPUT
7,INPUT
8,INPUT
9,INPUT
10,INPUT
11,INPUT
12,INPUT
13,OUTPUT
14,OUTPUT
15,OUTPUT
16,HIDDEN
17,HIDDEN
18,HIDDEN
19,HIDDEN
20,HIDDEN
21,HIDDEN
22,HIDDEN
23,HIDDEN
24,HIDDEN
25,HIDDEN
26,HIDDEN
27,HIDDEN
28,HIDDEN
29,HIDDEN
30,HIDDEN
31,HIDDEN
32,HIDDEN
33,HIDDEN
34,HIDDEN
35,HIDDEN
connections
from,to,weight,enabled
0,13,-0.64661819,1
0,14,8.4641764,1
0,15,-1.3250009,1
1,13,2.1691327,1
1,14,0.62738548,1
1,15,-118.36218,1
2,13,-1.8041598,1
2,14,10.905131,1
2,15,-7.9192194,1
3,13,-3.4151565,1
3,14,7.4882095,1
3,15,-1.1488043,1
4,13,-0.20265521,1
4,14,-3.3469664,1
4,15,-1.3946225,1
5,13,-1.0672469,1
5,14,10.378022,1
5,15,63.363998,1
6,13,15.715851,1
6,14,8.6551532,1
6,15,-2.47167,1
7,13,0.24746546,1
7,14,1.2290876,1
7,15,2.9271914,1
8,13,-0.93406464,1
8,14,-7.3987874,1
8,15,-0.72344803,1
9,13,-3.5608109,1
9,14,5.5758571,1
9,15,23.24822,1
10,13,1.1343354,1
10,14,-6.5749661,1
10,15,-3.1794478,1
11,13,-13.014623,1
11,14,-1.4491892,1
11,15,1.7932714,1
12,13,5.7132462,1
12,14,-7.4169038,1
12,15,-4.2621371,1
16,15,1.9044427,1
7,16,6.9425677,1
5,16,1.9292362,1
11,16,-4.6644543,1
8,16,5.164718,1
17,15,-9.2483457,1
4,17,-3.0038606,1
16,14,-1.8369845,1
3,16,0.9664164,1
6,17,1.678724,1
10,16,3.779323,1
11,17,-1.9567372,1
10,18,-2.6172525,1
18,13,-4.4975193,1
8,19,1.8442801,1
19,14,6.0321452,1
12,16,-1.3179098,1
7,18,-0.49285192,1
18,17,10.24926,1
19,16,-1.4337913,1
18,14,6.5321934,1
20,13,6.4031761,1
3,20,7.4386875,1
21,16,-5.0994841,1
8,21,-2.0758275,0
5,22,6.2232714,1
22,16,2.3714921,1
1,18,3.2362084,1
2,23,3.5494418,1
23,14,3.8832354,1
0,16,-0.55739902,1
4,24,2.7329076,1
24,14,-10.012346,1
17,16,7.6282203,1
1,25,1.5347224,1
25,13,10.693424,1
26,14,5.0758838,1
1,26,0.12223404,1
1,20,-4.4937267,1
22,24,-5.4192322,1
0,25,0.63725248,1
17,19,1.460032,1
5,18,-3.8062402,1
21,18,3.4571992,1
8,25,2.8202406,1
11,27,-6.6903577,1
27,15,-2.9603861,1
1,28,-12.711893,1
28,20,-0.23496815,1
20,29,-4.1134531,1
29,13,0.14121029,1
30,14,13.814785,1
26,30,0.37665024,1
4,18,-0.45336217,1
12,17,0.95040676,1
8,22,-5.4927426,1
31,16,-1.2250642,1
11,31,6.9225268,1
10,21,-8.6434445,1
5,27,-7.9690929,1
29,16,-3.4659848,1
4,32,-0.045682535,1
32,17,-2.0437896,1
9,29,1.8339128,1
21,29,2.2897231,1
21,31,-1.4403537,1
28,22,0.22219523,1
10,20,-1.1648564,1
9,20,3.4513282,1
33,20,2.9969819,1
1,33,0.31888187,1
34,15,3.6161429,1
7,34,-3.7106607,1
9,35,0.88506395,1
35,14,0.06632817,1
8,29,-2.7903536,1
23,19,-3.1288199,1
11,22,-2.1663378,1
25,22,-0.11887372,1
4,31,1.7231775,1
22,26,-2.5494123,1
32,21,-6.4692999,1
3,32,-8.6704952,1
5,23,4.6634712,1
