nodes
id,type
0,BIAS
1,INPUT
2,INPUT
3,INPUT
4,INPUT
5,INPUT
6,INPUT
7,INPUT
8,INPUT
9,INPUT
10,INPUT
11,INPUT
12,INPUT
13,OUTPUT
14,OUTPUT
15,OUTPUT
16,HIDDEN
17,HIDDEN
18,HIDDEN
19,HIDDEN
20,HIDDEN
21,HIDDEN
22,HIDDEN
23,HIDDEN
24,HIDDEN
25,HIDDEN
26,HIDDEN
27,HIDDEN
28,HIDDEN
29,HIDDEN
30,HIDDEN
31,HIDDEN
32,HIDDEN
33,HIDDEN
34,HIDDEN
connections
from,to,weight,enabled
0,13,-0.14566439,1
0,14,41.589023,1
0,15,1.4796921,1
1,13,-0.89214328,0
1,14,5.0095359,1
1,15,-6.3877483,1
2,13,1.3013263,1
2,14,5.1193383,1
2,15,1.3167312,1
3,13,3.9895207,1
3,14,3.4535618,1
3,15,-6.8153246,1
4,13,-4.7011787,1
4,14,-4.2332585,1
4,15,3.0806354,1
5,13,-1.0230931,1
5,14,1.4791577,1
5,15,16.815461,1
6,13,-3.9294248,1
6,14,-1.4455777,1
6,15,9.2547656,1
7,13,2.4025896,1
7,14,-1.4991341,1
7,15,0.62261415,1
8,13,1.6065516,0
8,14,2.1702305,1
8,15,1.0211755,1
9,13,-7.3168925,0
9,14,-2.2630312,1
9,15,0.72235256,1
10,13,0.66758143,1
10,14,0.60468973,1
10,15,-0.40857529,1
11,13,1.2409803,1
11,14,6.2231447,1
11,15,-0.3704091,1
12,13,-1.2240102,1
12,14,-1.4637163,1
12,15,-2.2134739,1
9,16,4.4336415,0
16,15,9.1328344,1
12,16,5.6175697,1
16,14,5.2723919,1
0,16,4.2398426,1
0,17,0.88715035,0
17,13,-4.0346348,1
18,13,-1.5813136,1
2,18,-5.4617864,0
3,18,0.51252293,1
10,17,-3.8108964,1
3,17,-0.071658473,1
6,17,2.4750405,1
5,16,2.0987101,1
6,16,3.8427333,1
7,17,4.7201752,1
17,16,8.5340491,1
9,18,0.3607579,1
7,16,1.4417992,1
5,18,2.1165867,0
19,15,-1.0329522,1
12,19,0.88989863,1
19,13,0.79135717,1
19,16,-6.8141135,1
4,17,3.1472033,1
8,18,-8.8383083,1
5,20,29.337037,1
20,13,-0.49598242,1
1,20,-69.531822,1
18,21,3.5108765,1
21,13,0.99194837,0
17,19,1.0977612,1
3,19,-3.2595343,1
3,22,1.6014817,0
22,17,-2.9350701,1
20,14,-126.44626,1
3,23,0.88647871,1
23,13,1.2128409,1
2,24,3.1420975,1
24,13,-1.2512387,1
22,23,-5.0451333,1
2,21,0.4225638,1
24,17,1.0515425,0
20,15,6.5516224,1
6,25,3.0191275,1
25,17,-4.7085442,1
25,13,-0.73223659,1
26,16,6.0601698,1
6,26,1.7585931,1
20,23,-0.90594215,1
8,27,-16.946106,1
27,13,-8.6412256,1
9,19,3.5773786,1
21,16,-4.4729078,1
7,19,-16.361492,1
20,22,-1.3015721,1
7,28,2.1002319,1
28,14,0.010417427,1
20,25,-15.380088,1
24,22,6.7249282,1
23,19,-0.95333717,1
2,19,2.2251334,1
29,23,3.2818106,1
3,29,0.80989168,1
29,18,-0.52600447,1
19,14,4.159513,1
0,30,-0.41310762,1
30,16,-8.4569149,1
29,30,-11.410815,0
29,16,1.2884651,1
1,24,-0.70485852,1
25,21,0.5397551,1
21,17,0.81915689,1
24,31,2.2978736,1
31,13,6.7341058,1
19,32,-1.5987415,1
32,15,3.3209702,1
4,23,-10.419058,1
21,33,-5.9220955,1
33,13,10.034018,1
2,34,-3.7143555,1
34,14,5.5648092,1
12,30,-12.946653,1
12,31,1.0358239,1
