nodes
id,type
0,BIAS
1,INPUT
2,INPUT
3,INPUT
4,INPUT
5,INPUT
6,INPUT
7,INPUT
8,INPUT
9,INPUT
10,INPUT
11,INPUT
12,INPUT
13,OUTPUT
14,OUTPUT
15,OUTPUT
16,HIDDEN
17,HIDDEN
18,HIDDEN
19,HIDDEN
20,HIDDEN
21,HIDDEN
22,HIDDEN
23,HIDDEN
24,HIDDEN
25,HIDDEN
26,HIDDEN
27,HIDDEN
28,HIDDEN
29,HIDDEN
30,HIDDEN
31,HIDDEN
32,HIDDEN
33,HIDDEN
34,HIDDEN
35,HIDDEN
36,HIDDEN
37,HIDDEN
38,HIDDEN
39,HIDDEN
40,HIDDEN
41,HIDDEN
42,HIDDEN
43,HIDDEN
44,HIDDEN
45,HIDDEN
46,HIDDEN
47,HIDDEN
48,HIDDEN
connections
from,to,weight,enabled
0,13,-4.9107624,1
0,14,-6.516662,1
0,15,2.2598873,0
1,13,-1.3061981,1
1,14,-2.390665,1
1,15,-0.042270604,1
2,13,-9.7542553,1
2,14,-13.714098,1
2,15,-1.5393478,1
3,13,4.3149449,1
3,14,3.6917543,1
3,15,-0.081581839,1
4,13,0.83195811,1
4,14,7.6023864,0
4,15,-5.057303,1
5,13,1.0523848,1
5,14,2.3489277,1
5,15,0.18557314,1
6,13,-0.27619267,1
6,14,9.4769942,0
6,15,3.1517016,1
7,13,-1.4462359,1
7,14,-3.5110094,0
7,15,74.768602,1
8,13,-4.5848981,1
8,14,-1.5125135,1
8,15,-13.694788,1
9,13,110.78733,1
9,14,-3.58092,1
9,15,4.3186129,0
10,13,-2.292122,1
10,14,7.0437268,1
10,15,-7.6693994,1
11,13,-0.79276805,1
11,14,10.869481,1
11,15,41.014089,1
12,13,6.5438677,1
12,14,1.2056087,0
12,15,0.59805433,1
12,16,0.41861557,1
16,14,-5.6026249,1
8,16,11.230808,1
17,13,5.3527964,1
6,17,-4.39252,1
10,16,-0.94253642,1
18,16,-1.2769716,1
8,18,5.0392315,1
18,13,-0.20635441,1
1,17,-4.8253428,1
2,17,-5.3734239,1
8,17,13.095301,1
4,19,-2.0901314,1
19,14,-3.8589151,1
19,18,-24.19347,1
17,16,-1.2504095,1
20,13,-0.00026980034,1
10,20,3.1407329,1
0,21,-1.2098389,1
21,15,2.8398811,0
10,22,0.97008183,1
22,16,-4.3967395,1
23,13,-7.040513,1
5,23,0.83343753,1
23,20,-1.0738048,1
10,18,3.9355963,1
17,20,8.618207,1
4,20,-1.6431774,1
8,24,-1.7391367,1
24,15,-62.338841,1
2,16,7.4911193,1
19,22,5.4339942,1
11,18,0.21665726,1
21,22,-3.5140032,1
21,18,6.4609753,0
20,21,0.30201034,1
19,21,6.3529532,1
9,25,-1.3105461,1
25,15,4.1893731,1
6,26,1.3911744,1
26,17,5.9504027,1
27,13,-3.1876402,1
1,27,-2.5548354,1
12,28,-2.738365,1
28,14,-22.669148,1
17,29,-7.0834416,1
29,20,-13.201239,1
8,26,0.0333794,1
11,27,4.2473099,1
19,30,-1.9066527,1
30,18,1.2864653,1
2,24,0.7414388,1
16,31,-7.930515,1
31,14,4.4117213,1
20,14,-2.2292016,1
26,31,-0.37043489,1
8,22,-1.3110926,1
28,18,0.90776202,1
8,32,2.8391517,1
32,15,-4.4535804,0
5,31,-0.44161629,1
33,13,-0.53001961,1
3,33,-5.0039558,1
2,32,7.9274184,1
0,34,2.089693,1
34,15,4.7747211,1
12,24,0.032315943,1
4,35,2.5543458,1
35,19,2.6315135,1
3,17,-0.59453825,1
1,36,-0.46209734,1
36,13,0.83281345,1
8,29,-0.26378364,1
32,29,-0.82828843,1
23,22,-0.66437874,1
6,24,4.4939838,1
25,17,1.8409253,1
27,37,-3.75073,1
37,13,-7.564053,1
6,38,6.7464754,1
38,13,-0.69798018,1
39,13,-0.47798613,1
1,39,-3.3011563,1
24,21,1.2957195,0
35,13,0.045937484,1
23,30,-0.82446167,1
12,30,-1.7668389,1
24,35,-6.0968598,1
35,36,1.8348293,1
12,40,6.3217989,1
40,16,2.4608993,1
2,30,2.495124,0
11,41,0.51317056,0
41,13,0.40237952,1
30,22,-11.859326,1
10,42,0.66957165,1
42,22,0.80999616,1
17,43,1.5021433,1
43,29,2.4668218,1
3,31,-0.1488026,1
6,44,-2.0479685,1
44,14,14.362316,1
4,45,1.4315438,1
45,14,-2.0247608,1
0,46,4.3088555,1
46,15,-0.72106332,1
8,33,0.95895155,1
44,28,4.1175537,1
1,47,10.439036,1
47,27,0.045560641,1
29,48,0.54784632,1
48,20,0.22672058,1
48,35,-0.20259809,1
