nodes
id,type
0,BIAS
1,INPUT
2,INPUT
3,INPUT
4,INPUT
5,INPUT
6,INPUT
7,INPUT
8,INPUT
9,INPUT
10,INPUT
11,INPUT
12,INPUT
13,OUTPUT
14,OUTPUT
15,OUTPUT
16,HIDDEN
17,HIDDEN
18,HIDDEN
19,HIDDEN
20,HIDDEN
21,HIDDEN
22,HIDDEN
23,HIDDEN
24,HIDDEN
25,HIDDEN
26,HIDDEN
27,HIDDEN
28,HIDDEN
29,HIDDEN
30,HIDDEN
31,HIDDEN
32,HIDDEN
33,HIDDEN
34,HIDDEN
35,HIDDEN
36,HIDDEN
37,HIDDEN
38,HIDDEN
39,HIDDEN
40,HIDDEN
41,HIDDEN
42,HIDDEN
43,HIDDEN
44,HIDDEN
45,HIDDEN
connections
from,to,weight,enabled
0,13,-27.378321,1
0,14,-1.2053803,1
0,15,-3.0320464,1
1,13,-2.6298011,1
1,14,83.8318,1
1,15,0.14758012,1
2,13,5.209318,1
2,14,1.5374451,1
2,15,-31.678969,1
3,13,5.3312914,1
3,14,1.0943335,1
3,15,-9.4644876,1
4,13,7.7132463,1
4,14,-1.1685195,1
4,15,0.56678116,1
5,13,-1.2742594,1
5,14,-45.105377,1
5,15,-0.59814149,1
6,13,-0.60035421,1
6,14,8.302109,1
6,15,0.28674166,1
7,13,7.7549897,0
7,14,4.8838979,1
7,15,-6.8419982,1
8,13,-1.7380841,1
8,14,-1.6473969,1
8,15,-2.6053485,1
9,13,4.8097713,1
9,14,-5.8789926,1
9,15,-3.9378378,1
10,13,-4.6651056,1
10,14,3.0224192,1
10,15,4.3564095,1
11,13,13.992748,0
11,14,4.7302953,1
11,15,-2.4089272,1
12,13,-1.713694,1
12,14,-6.2519962,1
12,15,4.67678,1
16,15,7.3432787,1
1,16,-0.65296495,0
0,16,-4.3911365,1
10,17,-5.4391834,0
17,15,-4.2873471,1
3,17,3.3973676,1
1,18,-16.524275,1
18,16,1.852447,1
19,15,2.4486132,1
0,19,-2.4983345,1
5,16,-3.5065655,1
6,18,-0.16854577,1
9,20,-1.2880722,1
20,15,-1.7414078,1
12,20,-1.0197364,1
10,21,-0.19658027,1
21,14,0.6945989,1
4,22,1.3592439,1
22,15,0.91416555,1
12,23,-0.062393636,1
23,15,2.0527804,0
16,17,-2.8573509,1
18,15,3.0871309,1
24,14,1.1698286,1
3,24,3.7577652,1
7,25,-7.0472163,1
25,13,8.5071546,1
22,24,-0.13062658,1
3,19,-0.37188457,1
17,26,7.1267937,1
26,15,-5.8662664,1
8,27,-1.294137,1
27,15,4.1731076,1
19,20,8.7959027,1
20,18,9.8126492,1
4,26,-15.033452,0
20,21,11.755771,1
21,13,-4.191847,1
19,28,-3.1227825,0
28,15,-6.703577,0
18,29,-7.427073,1
29,16,-2.8587188,1
10,29,2.2121649,1
12,24,-15.70254,1
23,26,1.1666324,1
10,26,-2.4943475,1
6,30,1.7919811,1
30,18,-0.69975869,1
11,17,1.9327409,1
18,14,-0.027532148,1
4,31,1.4177327,1
31,14,-6.6132234,1
0,32,-4.2619289,1
32,19,-1.5911607,1
20,13,-0.40906395,1
6,28,-2.4653088,1
4,19,3.6175085,1
27,32,3.2743763,1
23,29,5.0300446,1
10,31,-0.041085082,1
7,21,-1.3981296,1
1,20,-1.1429539,1
10,22,0.37816986,1
12,25,1.3960544,1
23,13,-7.7446233,1
6,33,3.1001894,1
33,30,6.3818788,1
7,19,-0.47432929,1
24,30,0.038172781,1
33,25,-0.39158637,1
31,23,0.10313172,1
4,34,-7.3590614,1
34,14,1.2380174,1
5,20,-6.5853323,1
18,35,-0.11601672,1
35,16,3.1377593,1
34,36,-0.46282143,1
36,14,0.80118266,1
23,37,0.26581614,1
37,29,-1.7743241,1
22,32,1.7252494,1
38,14,2.2100865,1
36,38,0.2577727,1
22,37,1.5760331,1
3,39,17.587313,1
39,14,-3.7624684,1
40,15,0.0029808216,1
8,40,10.430571,1
10,41,-1.0630345,1
41,15,1.2363801,1
2,31,-0.88118146,1
8,33,-3.3993767,1
19,38,-1.6998484,1
36,42,-2.5187834,1
42,38,8.2162745,1
5,22,1.997339,1
8,39,0.72023201,1
2,43,1.5451984,1
43,13,-2.907836,1
26,44,3.0601241,1
44,15,6.5024997,1
24,18,6.2473102,1
42,19,0.9249423,1
23,45,-0.63848447,1
45,13,-0.062561864,1
2,27,0.54376271,1
11,16,1.9588172,1
