nodes
id,type
0,BIAS
1,INPUT
2,INPUT
3,INPUT
4,INPUT
5,INPUT
6,INPUT
7,INPUT
8,INPUT
9,INPUT
10,INPUT
11,INPUT
12,INPUT
13,OUTPUT
14,OUTPUT
15,OUTPUT
16,HIDDEN
17,HIDDEN
18,HIDDEN
19,HIDDEN
20,HIDDEN
21,HIDDEN
22,HIDDEN
23,HIDDEN
24,HIDDEN
25,HIDDEN
26,HIDDEN
27,HIDDEN
28,HIDDEN
29,HIDDEN
30,HIDDEN
31,HIDDEN
32,HIDDEN
33,HIDDEN
34,HIDDEN
35,HIDDEN
36,HIDDEN
37,HIDDEN
38,HIDDEN
39,HIDDEN
40,HIDDEN
41,HIDDEN
42,HIDDEN
43,HIDDEN
44,HIDDEN
45,HIDDEN
46,HIDDEN
47,HIDDEN
48,HIDDEN
49,HIDDEN
50,HIDDEN
51,HIDDEN
52,HIDDEN
53,HIDDEN
54,HIDDEN
55,HIDDEN
56,HIDDEN
57,HIDDEN
58,HIDDEN
connections
from,to,weight,enabled
0,13,-0.61323948,0
0,14,0.3676177,1
0,15,-2.0640031,1
1,13,-4.1918407,1
1,14,-2.2764833,1
1,15,-0.49911618,1
2,13,-0.57868811,1
2,14,-1.139724,1
2,15,-1.3306889,1
3,13,-4.3525069,1
3,14,2.8649157,1
3,15,0.30628479,1
4,13,-5.6217658,1
4,14,2.5668446,0
4,15,0.097825265,1
5,13,0.082176268,1
5,14,5.6945611,1
5,15,-0.67067383,0
6,13,-1.0708826,1
6,14,-2.0868996,1
6,15,1.7061405,1
7,13,31.081189,1
7,14,-3.35598,1
7,15,-0.32344797,1
8,13,-0.43373146,1
8,14,0.53537147,1
8,15,0.052199358,1
9,13,-0.45887138,1
9,14,-0.12786578,1
9,15,-0.25251873,1
10,13,-5.7036662,1
10,14,-3.1381161,1
10,15,-1.8072351,1
11,13,30.082144,1
11,14,-0.21980005,1
11,15,-1.920176,1
12,13,-0.020725636,1
12,14,1.0200979,1
12,15,-1.9661654,1
3,16,-5.1859154,1
16,15,-0.16030394,1
1,16,5.5904145,1
6,16,3.6754978,1
4,16,7.8722334,1
11,16,-11.173558,0
1,17,95.643518,1
17,16,0.012218926,0
8,18,-4.1185503,1
18,15,-16.785215,1
17,15,0.59302449,1
7,17,-7.0778302,1
17,14,147.39121,1
1,19,1.1370165,1
19,13,4.3646161,1
3,18,2.3992921,1
11,17,0.607164,1
5,17,-7.991503,1
16,18,-1.0126447,1
17,18,0.6372922,1
12,18,2.2003538,1
2,17,-0.19640022,1
3,17,-1.8846864,1
20,15,12.998516,1
6,20,-7.8228376,1
4,19,5.1069557,1
5,16,0.26104766,1
12,20,4.7142221,1
12,21,-0.77280276,1
21,20,4.7616258,1
12,22,-4.1693896,1
22,15,-10.639242,1
17,23,0.6524587,1
23,15,12.663103,1
11,18,0.58436129,1
10,22,4.5576426,1
3,24,0.083277442,1
24,15,3.1155131,1
10,25,0.38441547,1
25,14,2.2276616,1
25,18,0.14820356,1
5,26,2.1439291,1
26,17,7.440033,1
0,27,13.354853,1
27,13,-1.6417924,1
4,28,1.6845063,1
28,16,-1.4192766,1
17,28,5.5612926,1
6,29,2.2398583,1
29,13,-3.0404867,1
10,30,0.80583531,1
30,25,11.259301,1
12,17,0.24634446,1
12,31,-1.359439,1
31,13,-0.78606778,0
10,16,1.0159151,1
17,32,-0.59474729,1
32,16,-2.7232308,1
16,14,-0.82348695,1
8,30,-0.09303792,1
12,28,-3.9643841,1
27,22,4.9093695,1
17,33,17.146811,1
33,28,5.8646794,1
10,20,10.088333,1
9,24,2.8992839,1
1,34,1.6613172,1
34,15,-1.6772931,1
19,28,1.9286991,1
10,35,1.2299944,1
35,14,2.2251637,1
5,34,-1.5817896,1
17,20,-2.0096938,1
32,28,0.57532739,1
1,22,-8.7823464,1
0,35,-1.1005269,0
17,36,-1.8739756,0
36,15,0.5538457,1
21,14,-19.035552,1
8,37,-1.2324952,1
37,18,-3.4939373,1
5,19,8.3062423,1
0,38,11.299963,1
38,13,-1.4549207,1
34,24,1.2075495,1
39,14,3.934725,1
9,39,5.5068433,1
40,15,-3.4691834,1
34,40,1.8968133,1
27,41,-0.26838097,1
41,13,3.0340879,1
42,15,0.82853646,1
7,42,-2.2213498,0
38,31,-0.23820651,1
3,43,-2.3028848,0
43,15,-0.13076538,1
40,26,-8.3528322,0
6,44,-3.1415422,1
44,13,-1.69681,1
35,44,-1.0796072,1
34,42,8.8775042,1
22,45,1.0348335,1
45,15,14.381661,1
30,24,-6.8330603,1
20,45,-13.918652,1
38,24,3.3389218,1
22,24,-1.8816196,1
24,32,-0.51601213,1
46,14,1.5859248,1
9,46,10.505743,1
17,47,-0.51209257,1
47,28,1.7024893,1
34,46,-3.3557156,1
0,48,12.076663,1
48,27,-2.9764075,1
25,38,-1.2478906,1
5,49,1.6982762,0
49,16,-1.0313798,1
25,50,0.5450188,1
50,18,-0.90724322,1
6,51,4.9814805,1
51,16,-0.78694079,1
40,47,-0.59981787,1
20,32,0.6621769,1
52,14,1.086002,1
9,52,-1.362087,1
47,27,-6.0542173,1
28,42,7.4369332,1
34,18,-3.1967025,1
5,53,1.5142238,1
53,19,-1.7771402,1
43,37,5.6933608,1
12,54,-4.573324,1
54,14,-0.60794248,1
6,55,-4.1714747,1
55,16,-2.2022528,0
11,29,-0.24918334,1
33,32,11.269737,0
10,56,0.0797342,1
56,35,-9.2670345,1
50,29,1.2318424,1
6,42,-5.017027,1
34,57,-9.3891562,1
57,46,11.122555,1
30,20,-1.6037643,1
9,25,-1.5245281,1
5,36,2.5558373,1
7,58,4.1221074,1
58,42,-0.65074803,1
