nodes
id,type
0,BIAS
1,INPUT
2,INPUT
3,INPUT
4,INPUT
5,INPUT
6,INPUT
7,INPUT
8,INPUT
9,INPUT
10,INPUT
11,INPUT
12,INPUT
13,OUTPUT
14,OUTPUT
15,OUTPUT
16,HIDDEN
17,HIDDEN
18,HIDDEN
19,HIDDEN
20,HIDDEN
21,HIDDEN
22,HIDDEN
23,HIDDEN
24,HIDDEN
25,HIDDEN
26,HIDDEN
27,HIDDEN
28,HIDDEN
29,HIDDEN
30,HIDDEN
31,HIDDEN
32,HIDDEN
33,HIDDEN
34,HIDDEN
35,HIDDEN
36,HIDDEN
37,HIDDEN
38,HIDDEN
connections
from,to,weight,enabled
0,13,-3.0826778,1
0,14,14.925706,1
0,15,-0.39506146,1
1,13,1.2230122,1
1,14,-2.1224794,1
1,15,-0.01570681,1
2,13,-0.43499693,1
2,14,3.1788128,1
2,15,0.69899452,1
3,13,3.9029476,1
3,14,-4.2353412,1
3,15,-0.53242729,1
4,13,1.7099464,1
4,14,-2.125251,1
4,15,-1.4776267,1
5,13,-2.7630104,1
5,14,-1.5301532,1
5,15,3.6634391,1
6,13,0.38363802,1
6,14,0.26915279,1
6,15,0.07007527,0
7,13,139.23162,1
7,14,32.444364,1
7,15,-3.691203,1
8,13,4.4823123,1
8,14,0.85138184,1
8,15,-4.2829273,1
9,13,-81.979387,1
9,14,31.523792,1
9,15,0.38241127,1
10,13,-0.45430367,1
10,14,7.5561389,1
10,15,-1.1277943,0
11,13,49.781057,1
11,14,8.7848057,1
11,15,-3.5094727,1
12,13,-4.3378265,1
12,14,-2.7438327,1
12,15,-5.8231533,0
12,16,-5.995621,1
16,15,-0.90223905,1
3,16,-1.1881533,1
9,16,-7.6965917,1
16,14,0.71694408,1
6,17,4.7219005,1
17,14,-0.38955234,0
5,16,14.365087,1
2,17,2.8216266,1
2,16,3.2840381,1
0,17,4.2209749,1
6,16,-0.16660924,0
10,18,-5.8066555,1
18,15,6.1550508,1
9,19,0.41068542,1
19,16,-0.71851803,1
17,16,-18.132354,1
20,15,6.4683557,1
12,20,-1.0539757,1
9,20,7.145375,1
21,14,-3.7303036,1
1,21,-0.9458295,1
22,14,-0.11253722,1
3,22,-1.2558404,1
18,14,1.5540483,1
10,20,1.1649226,1
2,19,3.566815,1
3,19,-2.8759415,1
2,23,8.0606552,1
23,17,-4.0094656,1
20,16,1.5868871,1
12,22,-2.3475437,1
3,24,-1.3176663,1
24,19,-2.8447452,1
1,22,1.2668207,1
18,17,-0.23013818,1
6,22,-1.4081049,1
7,17,5.202006,1
3,25,1.3973351,1
25,16,3.2167473,1
18,22,-7.8168382,1
23,24,3.0659784,1
9,26,-0.89156756,1
26,15,-0.85025705,1
16,27,6.2142615,1
27,15,11.265584,1
1,26,5.9215322,1
22,27,-2.9390305,1
23,13,-16.626843,1
21,27,3.70844,1
18,23,0.96229367,1
22,28,10.624984,1
28,14,2.4610346,1
10,28,-10.815378,1
6,27,-2.8563461,1
11,28,5.626245,1
1,29,-2.0458915,1
29,15,4.588947,1
3,30,0.97704197,1
30,15,0.46606672,1
2,28,1.9840982,1
3,31,3.5820779,1
31,13,10.721667,1
32,15,-0.88533101,1
18,32,1.8503322,0
6,31,2.498926,1
3,33,-3.8392821,1
33,31,-4.7130357,0
33,34,2.1756184,1
34,31,2.0473235,1
6,35,-1.8406415,1
35,13,-2.284722,1
35,33,-1.2756093,1
33,22,-5.6914916,1
3,36,-1.3785121,1
36,31,-2.2405631,1
37,16,3.8815503,1
6,37,4.1090078,1
21,38,7.8690425,1
38,14,1.1905904,1
36,25,1.7126991,1
