nodes
id,type
0,BIAS
1,INPUT
2,INPUT
3,INPUT
4,INPUT
5,INPUT
6,INPUT
7,INPUT
8,INPUT
9,INPUT
10,INPUT
11,INPUT
12,INPUT
13,OUTPUT
14,OUTPUT
15,OUTPUT
16,HIDDEN
17,HIDDEN
18,HIDDEN
19,HIDDEN
20,HIDDEN
21,HIDDEN
22,HIDDEN
23,HIDDEN
24,HIDDEN
25,HIDDEN
26,HIDDEN
27,HIDDEN
28,HIDDEN
29,HIDDEN
30,HIDDEN
31,HIDDEN
connections
from,to,weight,enabled
0,13,1.7446029,0
0,14,-6.1888851,1
0,15,-5.0541197,1
1,13,0.21685551,1
1,14,-1.1146339,1
1,15,1.3308598,1
2,13,-0.21104358,1
2,14,-0.66394579,1
2,15,-0.56230139,1
3,13,1.8070605,1
3,14,1.8886232,1
3,15,-10.476855,1
4,13,4.8742317,1
4,14,-0.67093338,1
4,15,0.53828514,1
5,13,0.56844879,1
5,14,1.2088502,1
5,15,2.2951373,1
6,13,3.8209348,1
6,14,0.087718375,1
6,15,2.4780018,1
7,13,21.242556,1
7,14,-57.859687,1
7,15,-0.61494858,1
8,13,2.4983402,1
8,14,1.2095392,1
8,15,-3.7787039,1
9,13,-8.2205473,1
9,14,0.060448075,1
9,15,-0.54237678,1
10,13,-1.4370794,1
10,14,1.4189898,1
10,15,-7.3718073,1
11,13,-1.0138863,0
11,14,-4.7345212,1
11,15,0.81062697,1
12,13,2.2547575,1
12,14,0.80952481,1
12,15,2.2771635,1
16,15,-5.1376869,1
5,16,18.955681,1
7,16,-1.398681,1
6,16,0.41221129,1
8,16,6.0081816,1
9,16,-1.4655296,1
3,16,1.8093729,1
10,16,5.1446839,1
0,16,-6.131292,1
12,16,-1.1898152,1
2,16,1.2931631,1
17,14,3.9659598,1
5,17,-1.168207,1
1,18,43.75948,1
18,14,135.2508,1
18,13,-6.279225,1
7,17,-3.5274971,1
1,16,3.816857,1
8,17,6.3059903,1
12,19,-6.1858664,1
19,16,-5.7243238,0
7,19,-3.3878943,1
11,18,-20.265045,1
20,16,-1.2027341,1
6,20,0.51437259,1
11,19,0.81905923,1
6,17,-1.023156,1
7,21,-0.067051145,1
21,16,-3.2228291,1
3,21,-1.4296799,1
5,22,-9.7192163,1
22,17,0.33641259,1
7,20,-1.8683569,1
0,23,-1.8488349,1
23,16,-1.9048179,1
0,21,-2.8572476,0
0,24,0.79312069,1
24,15,-0.60390991,1
17,24,2.9612548,1
17,21,5.1564186,1
11,20,5.0897331,1
22,15,6.911186,1
21,20,-0.67779145,1
23,14,-3.0371868,1
19,14,1.373641,1
1,17,3.7430728,1
23,18,-1.6117477,1
6,18,1.1271796,1
16,14,1.2745459,1
7,25,1.6723551,1
25,17,2.8708855,1
2,20,-2.5614899,1
7,23,-17.866541,1
4,24,-9.090761,1
5,26,3.0251996,1
26,22,1.6600691,1
5,21,1.7288506,1
23,27,0.51694136,1
27,16,0.19580921,1
17,28,-5.9160967,1
28,14,-15.563925,1
4,29,5.1354794,1
29,14,-7.4401875,1
11,26,9.2676335,1
0,25,-0.44144523,1
0,30,-1.1548109,1
30,24,3.3033095,1
11,16,-1.7389098,1
23,15,1.5882578,1
8,30,5.2848012,1
5,31,-2.6825812,1
31,17,-0.19617668,1
30,22,-3.6883464,1
