nodes
id,type
0,BIAS
1,INPUT
2,INPUT
3,INPUT
4,INPUT
5,INPUT
6,INPUT
7,INPUT
8,INPUT
9,INPUT
10,INPUT
11,INPUT
12,INPUT
13,OUTPUT
14,OUTPUT
15,OUTPUT
16,HIDDEN
17,HIDDEN
18,HIDDEN
19,HIDDEN
20,HIDDEN
21,HIDDEN
22,HIDDEN
23,HIDDEN
24,HIDDEN
25,HIDDEN
26,HIDDEN
27,HIDDEN
28,HIDDEN
29,HIDDEN
30,HIDDEN
31,HIDDEN
32,HIDDEN
33,HIDDEN
34,HIDDEN
35,HIDDEN
36,HIDDEN
37,HIDDEN
38,HIDDEN
39,HIDDEN
40,HIDDEN
41,HIDDEN
42,HIDDEN
43,HIDDEN
44,HIDDEN
45,HIDDEN
46,HIDDEN
47,HIDDEN
48,HIDDEN
49,HIDDEN
50,HIDDEN
51,HIDDEN
52,HIDDEN
53,HIDDEN
54,HIDDEN
55,HIDDEN
connections
from,to,weight,enabled
0,13,-2.348573,1
0,14,-2.3056812,1
0,15,-3.956901,1
1,13,7.2331684,1
1,14,93.650364,1
1,15,-2.7925048,1
2,13,-3.8370671,1
2,14,-4.6871697,1
2,15,-16.887436,1
3,13,-1.3899576,1
3,14,-1.8295438,1
3,15,-11.502207,1
4,13,-1.9232237,1
4,14,2.4521241,1
4,15,0.24477417,1
5,13,-10.140476,1
5,14,-53.928317,1
5,15,4.6478769,1
6,13,3.8312704,1
6,14,-3.0405693,1
6,15,-12.910737,1
7,13,-1.6480269,1
7,14,1.9897964,1
7,15,41.172807,1
8,13,0.62978222,1
8,14,-0.020878758,1
8,15,-4.7294737,1
9,13,0.41915311,1
9,14,11.324979,1
9,15,-12.450494,1
10,13,1.2944047,1
10,14,-0.34610674,1
10,15,3.1441317,1
11,13,-10.68202,1
11,14,-1.0531655,1
11,15,0.74630316,1
12,13,2.9158979,0
12,14,-2.3019195,1
12,15,1.4309361,1
5,16,-3.7312061,1
16,15,0.92986633,1
3,17,-2.0162598,1
17,15,-0.5550114,1
18,14,-0.72468541,1
4,18,-3.9972462,1
11,19,0.49225029,1
19,15,0.30920828,1
9,16,-2.5641075,1
2,19,-0.96000945,1
3,18,-1.4166086,0
20,15,-1.9875604,1
17,20,1.4662649,1
7,19,-1.4209056,1
9,21,2.8547758,1
21,14,-2.8356569,1
9,19,-0.27408454,1
22,13,-3.1878438,1
3,22,-4.1267474,1
3,19,2.5942829,1
18,16,0.51937307,1
10,23,7.1370688,1
23,15,-1.8913527,1
18,15,2.7840098,1
12,16,3.8964532,1
3,24,-5.9368526,1
24,19,-0.20711088,1
7,25,2.3692575,1
25,15,0.61410652,1
22,19,3.6739513,1
22,16,1.4493703,1
26,13,-0.061461474,1
4,26,-2.9875561,1
9,18,3.8134272,1
27,15,3.3273711,1
7,27,-1.3428832,1
22,28,-2.1352835,1
28,19,6.1215176,1
29,15,1.0680674,1
25,29,2.9133044,1
30,15,0.64526807,1
20,30,3.4827566,0
7,31,-4.1945341,1
31,13,11.845558,1
22,32,-1.0616774,0
32,16,-0.4488314,1
33,15,8.8976355,1
18,33,6.2808977,1
22,34,4.8829655,1
34,19,-6.7860036,1
25,20,-0.90734738,1
7,22,1.6820352,1
17,30,-1.9230623,1
2,16,7.2050236,1
3,28,0.5817891,1
18,35,-2.7290429,1
35,16,0.031378167,1
27,34,-1.9230592,1
0,27,-2.2053409,1
5,22,0.85606543,1
8,18,2.2862794,1
1,24,-1.0767516,1
9,36,8.7362111,1
36,15,-1.1415896,1
27,25,2.862709,1
1,37,-4.1943114,1
37,15,-2.437766,1
28,38,-4.3278435,1
38,19,2.6341009,1
4,24,-4.0070393,1
22,39,0.12520485,1
39,16,-3.5535503,1
38,14,14.281445,1
34,24,-1.8548926,1
2,40,6.9316404,1
40,14,1.4953425,1
1,41,-1.6740861,1
41,13,-1.3441305,1
27,36,9.8601844,1
26,18,0.13064846,1
40,21,-12.208514,1
18,42,-3.758338,1
42,33,0.82797076,1
22,43,-2.2354239,1
43,28,-1.063001,1
40,31,-4.1876164,1
3,44,1.6312002,1
44,15,-3.8726303,1
30,28,4.5195504,0
12,45,0.67108353,1
45,15,1.0570254,1
2,46,4.4434113,1
46,13,11.448554,0
9,47,6.3881606,1
47,13,4.1797682,1
48,13,0.039097683,1
2,48,9.0813225,1
1,44,-3.138756,1
1,49,-1.6751041,1
49,24,-1.5230468,1
17,21,-9.3285053,1
12,50,-6.5925587,1
50,45,-4.8368078,1
46,51,-2.8262068,1
51,13,-0.49316555,1
7,52,-3.4859569,1
52,22,-8.8751281,1
29,31,2.9614527,1
12,53,1.5918047,1
53,13,-1.0118757,1
30,54,1.6278161,1
54,28,-6.1470963,1
31,19,-0.70195579,1
55,18,-4.3754278,1
3,55,0.97615569,1
