nodes
id,type
0,BIAS
1,INPUT
2,INPUT
3,INPUT
4,INPUT
5,INPUT
6,INPUT
7,INPUT
8,INPUT
9,INPUT
10,INPUT
11,INPUT
12,INPUT
13,OUTPUT
14,OUTPUT
15,OUTPUT
connections
from,to,weight,enabled
0,13,-1.0852502,1
0,14,0.80394069,1
0,15,-0.030097439,1
1,13,0.37627403,1
1,14,0.45736799,1
1,15,1.2294855,1
2,13,-1.0172407,1
2,14,-0.69568152,1
2,15,-0.85795344,1
3,13,1.0066562,1
3,14,1.9624594,1
3,15,-1.6618642,1
4,13,-1.7898215,1
4,14,-0.33147766,1
4,15,0.8946631,1
5,13,-0.84777271,1
5,14,-0.88014284,1
5,15,-1.0616542,1
6,13,0.83469145,1
6,14,1.0493876,1
6,15,1.2108122,1
7,13,1.7921846,1
7,14,-1.3628023,1
7,15,-0.90887004,1
8,13,1.8082997,1
8,14,0.62906054,1
8,15,0.21322642,1
9,13,0.45353141,1
9,14,0.99539163,1
9,15,1.9500056,1
10,13,1.0029856,1
10,14,0.055861777,1
10,15,0.095254778,1
11,13,0.8032493,1
11,14,-0.45407352,1
11,15,0.090649152,1
12,13,-0.34133819,1
12,14,-1.3924989,1
12,15,-1.3275541,1
