nodes
id,type
0,BIAS
1,INPUT
2,INPUT
3,INPUT
4,INPUT
5,INPUT
6,INPUT
7,INPUT
8,INPUT
9,INPUT
10,INPUT
11,INPUT
12,INPUT
13,OUTPUT
14,OUTPUT
15,OUTPUT
16,HIDDEN
17,HIDDEN
18,HIDDEN
19,HIDDEN
20,HIDDEN
21,HIDDEN
22,HIDDEN
23,HIDDEN
24,HIDDEN
25,HIDDEN
26,HIDDEN
27,HIDDEN
connections
from,to,weight,enabled
0,13,2.678867,1
0,14,-6.3503506,0
0,15,-0.52756741,1
1,13,-2.6516266,1
1,14,8.4802042,1
1,15,3.3671697,1
2,13,-2.5765628,1
2,14,6.7701093,1
2,15,3.4514046,1
3,13,8.6190335,1
3,14,-5.7320238,1
3,15,0.24543274,1
4,13,-0.56583065,1
4,14,2.7163225,0
4,15,-2.294498,1
5,13,-1.6579894,1
5,14,-8.5677662,1
5,15,51.30196,1
6,13,1.0519409,1
6,14,-3.6094383,1
6,15,1.4023756,1
7,13,3.9422727,1
7,14,1.6180946,1
7,15,124.749,1
8,13,-1.6072003,0
8,14,-3.9145869,1
8,15,2.6950686,1
9,13,0.046101154,1
9,14,9.4886995,1
9,15,-94.402461,1
10,13,3.7823994,1
10,14,5.0921127,0
10,15,-1.1391865,1
11,13,-12.367884,1
11,14,2.7635854,1
11,15,-0.63651633,1
12,13,6.0150186,1
12,14,0.50201469,1
12,15,0.70804415,1
10,16,-0.074061569,1
16,15,8.1820525,1
11,16,-3.1120824,1
9,16,-2.133965,1
8,16,0.65401137,1
2,16,-1.1928899,1
5,16,0.41739672,1
6,16,9.1453749,1
3,16,-3.9988892,1
1,16,1.1904234,1
0,16,0.82323911,1
12,16,-3.0470979,1
5,17,0.85740596,1
17,16,-2.7148073,1
16,14,1.6422587,1
18,14,0.82461108,1
10,18,-8.1830997,1
8,17,2.3586724,1
2,19,-1.6479225,1
19,13,3.664418,1
10,19,-1.0734807,1
2,17,0.7805206,1
1,19,16.345218,1
19,16,6.0436065,1
11,19,4.6681872,1
5,18,-1.4831426,1
20,16,1.0483694,1
12,20,-0.82653206,1
19,20,-1.1124738,1
17,18,0.25496819,1
18,15,-2.72094,1
1,20,-5.3943255,1
12,18,-4.4629279,1
17,13,-1.6708072,1
20,13,1.3931684,1
2,21,12.264194,1
21,16,-7.2214598,1
20,15,-8.7940891,1
22,16,2.6552996,1
20,22,-2.5800738,1
7,23,8.5498892,1
23,14,0.99900043,1
6,24,3.3477362,1
24,16,-3.380887,1
2,25,0.51566476,1
25,21,-1.481108,1
26,14,6.3302681,1
10,26,-0.22322661,1
19,23,-2.7068196,1
4,27,0.44642818,1
27,15,-0.26222597,1
7,22,1.7566101,1
2,22,2.4245527,1
6,25,-0.34285771,1
