nodes
id,type
0,BIAS
1,INPUT
2,INPUT
3,INPUT
4,INPUT
5,INPUT
6,INPUT
7,INPUT
8,INPUT
9,INPUT
10,INPUT
11,INPUT
12,INPUT
13,OUTPUT
14,OUTPUT
15,OUTPUT
16,HIDDEN
17,HIDDEN
18,HIDDEN
19,HIDDEN
20,HIDDEN
21,HIDDEN
22,HIDDEN
23,HIDDEN
24,HIDDEN
25,HIDDEN
26,HIDDEN
27,HIDDEN
28,HIDDEN
29,HIDDEN
30,HIDDEN
31,HIDDEN
32,HIDDEN
33,HIDDEN
connections
from,to,weight,enabled
0,13,-1.6202238,1
0,14,-0.80774265,1
0,15,-41.530732,1
1,13,-3.9099261,1
1,14,100.23257,1
1,15,6.6209616,1
2,13,3.5583977,1
2,14,16.952532,1
2,15,-6.8714546,1
3,13,8.5420917,1
3,14,6.2966124,1
3,15,-1.3704017,1
4,13,-4.6120943,1
4,14,1.4680888,1
4,15,6.1841734,1
5,13,-3.7881288,1
5,14,1.5595004,1
5,15,1.7203843,0
6,13,1.4427485,1
6,14,1.7522471,1
6,15,1.0929426,1
7,13,1.9384327,1
7,14,-8.3654318,1
7,15,-1.3887294,1
8,13,-0.7147056,1
8,14,2.2138677,1
8,15,-0.55140115,1
9,13,-4.4466635,1
9,14,-1.9146653,1
9,15,-6.0259733,1
10,13,-0.0011318894,1
10,14,13.354164,1
10,15,-3.4499094,1
11,13,1.138875,1
11,14,-55.429313,1
11,15,-2.2958694,1
12,13,1.4169558,1
12,14,-1.3997168,1
12,15,1.1677115,1
16,15,0.17009962,1
4,16,1.057138,1
2,17,-0.85036305,1
17,14,1.5097753,1
3,17,-4.9822955,1
1,17,-5.5387395,1
8,16,-16.563634,1
7,17,-2.812311,1
6,16,13.460342,1
10,16,3.304037,1
17,13,-1.2633731,1
1,16,6.5771016,1
2,16,-3.9649557,1
11,16,-11.385093,1
10,17,1.9434709,0
0,16,-7.0061166,1
7,18,-12.684934,1
18,14,15.875631,1
16,19,2.0020288,1
19,15,2.7474093,1
18,17,1.9082304,1
6,18,-15.832339,1
8,17,4.6627932,1
6,20,-2.3683262,1
20,15,-1.640456,1
10,21,-2.6301425,1
21,14,-3.8517777,1
3,22,-1.4114788,1
22,17,-3.9477516,1
9,19,-5.2657708,1
20,19,0.26628151,1
16,23,-4.2377126,1
23,19,-2.7150495,1
11,24,0.66926524,1
24,16,-0.91717444,1
23,20,3.893464,1
3,23,1.5905914,1
0,19,-0.7662711,1
18,24,-0.33017365,1
11,25,1.4098675,1
25,16,2.0715559,1
24,14,-12.167605,1
21,18,-0.19449336,1
3,19,2.2562025,1
12,26,-1.5011497,1
26,13,6.9706313,1
17,16,5.3886809,1
5,27,3.9113886,1
27,15,-0.97726134,1
3,28,0.54799973,1
28,19,0.2947589,1
10,29,4.2126259,1
29,13,-0.38964437,1
9,23,-2.3520944,1
12,28,-0.86860728,1
19,30,-2.7432854,1
30,15,-1.3763048,1
11,23,1.4324472,1
31,18,-1.8351418,1
6,31,0.48567282,1
9,32,-6.5332734,0
32,15,0.02129426,1
7,20,-0.0088788856,1
26,18,-11.130126,1
6,33,0.11758469,1
33,15,0.34924048,1
33,29,-0.1705618,1
9,18,4.1121289,0
24,19,0.71613696,1
3,31,0.37768757,1
26,29,4.8451971,1
29,25,-3.3799307,1
33,31,-1.1985099,1
