nodes
id,type
0,BIAS
1,INPUT
2,INPUT
3,INPUT
4,INPUT
5,INPUT
6,INPUT
7,INPUT
8,INPUT
9,INPUT
10,INPUT
11,INPUT
12,INPUT
13,OUTPUT
14,OUTPUT
15,OUTPUT
16,HIDDEN
17,HIDDEN
18,HIDDEN
19,HIDDEN
20,HIDDEN
21,HIDDEN
22,HIDDEN
23,HIDDEN
24,HIDDEN
25,HIDDEN
26,HIDDEN
27,HIDDEN
28,HIDDEN
29,HIDDEN
30,HIDDEN
31,HIDDEN
32,HIDDEN
33,HIDDEN
34,HIDDEN
35,HIDDEN
36,HIDDEN
37,HIDDEN
38,HIDDEN
39,HIDDEN
40,HIDDEN
41,HIDDEN
42,HIDDEN
43,HIDDEN
44,HIDDEN
45,HIDDEN
46,HIDDEN
47,HIDDEN
48,HIDDEN
49,HIDDEN
50,HIDDEN
51,HIDDEN
52,HIDDEN
53,HIDDEN
54,HIDDEN
connections
from,to,weight,enabled
0,13,2.6708208,1
0,14,0.57684947,1
0,15,3.1664965,1
1,13,0.84382862,1
1,14,120.59538,1
1,15,4.8750026,1
2,13,-1.7317931,1
2,14,-1.1427198,1
2,15,-1.8226658,0
3,13,2.5579785,1
3,14,0.25204641,1
3,15,5.0741069,1
4,13,-3.3761354,1
4,14,4.3258081,1
4,15,-3.6233517,1
5,13,4.3413199,1
5,14,-79.50828,1
5,15,-3.7558133,1
6,13,7.0937353,1
6,14,4.0917276,1
6,15,1.7725034,1
7,13,5.4573101,1
7,14,-72.040076,1
7,15,-16.27759,1
8,13,-4.8557106,1
8,14,-1.9414014,1
8,15,-5.5422745,1
9,13,2.0491372,1
9,14,99.18005,1
9,15,1.8244323,1
10,13,0.27416333,1
10,14,-0.97094079,1
10,15,12.412458,1
11,13,2.5416534,1
11,14,3.3379703,1
11,15,1.3711449,1
12,13,-1.1979552,1
12,14,3.7405883,1
12,15,-3.7863323,1
16,13,1.5940237,1
12,16,1.2385797,1
17,13,1.3855582,0
0,17,-2.6764002,1
12,17,0.97049314,1
3,16,0.32377127,1
0,16,-0.6032448,1
0,18,-0.77508917,1
18,16,1.3338362,1
3,19,-3.4360939,1
19,16,6.3194409,1
18,15,-6.5330821,1
1,18,-0.67453804,1
8,20,-4.4509779,1
20,14,5.663702,0
4,19,-0.21836842,1
1,19,1.9710207,1
0,21,-1.3767996,1
21,17,-0.19374766,1
5,22,-2.3950214,1
22,13,-1.6997652,0
0,23,-3.2604421,1
23,16,-6.4696141,1
0,20,0.7769016,1
0,19,0.67437383,1
24,15,-3.221736,1
1,24,-6.9939932,1
1,25,-1.5706888,1
25,19,3.6116317,1
11,22,-1.6836425,1
9,25,1.4045876,1
26,14,7.1597841,1
6,26,1.3614081,1
8,27,1.7655739,1
27,14,0.19742559,1
2,26,-1.5729035,1
10,28,-3.0566237,1
28,14,3.8215203,1
8,29,4.6527033,1
29,27,-0.14569767,1
20,13,-1.1841366,1
4,30,-0.84021964,1
30,19,1.8726413,1
0,31,-2.7552301,1
31,20,1.7044678,1
12,21,5.7331811,1
0,32,1.2558988,1
32,18,-2.1507186,1
3,33,3.3425939,1
33,14,1.9026101,1
21,25,7.6131622,1
32,19,-1.009455,1
29,24,2.0157449,1
23,34,-3.5292663,1
34,16,10.248088,1
28,17,3.0483121,1
0,35,0.97515762,1
35,21,6.7352639,1
3,36,-1.1192938,1
36,19,11.551369,1
10,20,-1.9832653,1
35,37,1.6412135,1
37,21,0.2411349,1
17,16,-2.9524474,1
28,36,1.0573174,1
9,16,0.69475355,1
29,23,-0.7098637,1
10,38,0.27873942,1
38,15,-0.72636808,1
22,34,5.0801916,1
20,33,-1.6385569,1
38,17,5.8939631,1
9,21,3.4626795,1
17,25,3.8548614,1
21,39,-4.279948,1
39,25,-2.4790967,1
21,29,-2.0718879,1
2,19,-17.626821,1
21,40,3.1899339,1
40,39,-2.4570691,1
1,41,-1.9065145,1
41,15,-0.55812218,1
42,14,3.1859232,1
28,42,1.7120092,1
37,43,5.3320672,1
43,21,-0.077420897,1
16,44,0.1536264,1
44,13,-8.6906149,1
22,28,-0.95373441,1
9,45,-4.8679596,1
45,21,4.7190449,1
45,24,0.32528635,1
5,32,6.2645047,1
19,14,-10.304907,1
0,26,-10.724268,1
7,42,0.38711073,1
5,37,-13.322765,1
3,34,1.5916025,1
21,46,0.0042258028,1
46,25,5.7010947,1
41,44,-6.180922,1
29,33,-2.7510733,1
41,13,2.5951799,1
21,47,5.0095842,1
47,39,-5.4410344,1
37,47,-4.7232151,1
48,13,-0.77138078,1
17,48,-1.166536,1
28,49,1.2582387,1
49,36,0.18760121,1
50,13,0.31988608,1
7,50,-1.2591547,1
30,21,-5.4018428,1
45,20,0.71161792,1
8,48,-5.8358065,1
5,51,-4.0555815,1
51,37,2.6621846,1
2,29,3.7113926,1
40,52,1.0101963,1
52,39,1.4290994,1
1,53,-0.38679225,1
53,18,-0.68403656,1
10,46,2.3017641,1
48,50,-1.2704513,1
53,17,2.9055782,1
41,30,3.657935,1
54,13,88.514925,1
50,54,0.54979825,1
26,25,-2.8926498,1
30,37,1.6301068,1
