nodes
id,type
0,BIAS
1,INPUT
2,INPUT
3,INPUT
4,INPUT
5,INPUT
6,INPUT
7,INPUT
8,INPUT
9,INPUT
10,INPUT
11,INPUT
12,INPUT
13,OUTPUT
14,OUTPUT
15,OUTPUT
16,HIDDEN
17,HIDDEN
18,HIDDEN
19,HIDDEN
20,HIDDEN
21,HIDDEN
22,HIDDEN
23,HIDDEN
24,HIDDEN
25,HIDDEN
26,HIDDEN
27,HIDDEN
28,HIDDEN
29,HIDDEN
30,HIDDEN
31,HIDDEN
32,HIDDEN
33,HIDDEN
34,HIDDEN
35,HIDDEN
36,HIDDEN
37,HIDDEN
38,HIDDEN
39,HIDDEN
connections
from,to,weight,enabled
0,13,-2.8432758,1
0,14,-6.4221105,1
0,15,2.5976968,1
1,13,7.5186424,0
1,14,140.99284,1
1,15,2.9385714,1
2,13,-4.3936049,1
2,14,0.087776308,1
2,15,0.50923713,1
3,13,-0.23687319,0
3,14,6.6859744,1
3,15,3.3307921,1
4,13,-1.3727668,1
4,14,1.3609946,0
4,15,-1.1781568,1
5,13,-0.5134497,1
5,14,-27.923693,1
5,15,56.620081,1
6,13,1.1312383,0
6,14,-0.39075487,1
6,15,0.37712219,1
7,13,-0.42763476,1
7,14,2.1491099,1
7,15,-1.8842895,1
8,13,-3.3060864,1
8,14,-5.7925052,1
8,15,0.28166147,1
9,13,2.898854,1
9,14,-1.4664037,0
9,15,0.82196491,0
10,13,8.7450024,1
10,14,1.1469763,1
10,15,-0.78387924,1
11,13,-4.3385971,1
11,14,-0.22923292,1
11,15,1.1595312,1
12,13,-15.793108,1
12,14,2.3112853,1
12,15,-0.75335954,1
16,15,0.19006977,1
11,16,-2.196318,0
0,17,-1.7325888,1
17,15,1.7964449,1
18,14,-7.2962966,1
6,18,11.309793,1
5,17,-0.73338071,1
9,19,2.6171819,1
19,14,1.6178275,1
10,16,-5.6031488,1
17,13,2.3552873,1
5,16,2.3037863,1
17,16,-1.6260917,1
0,16,-1.1920391,0
20,15,-1.671954,1
1,20,3.0281454,1
12,18,-5.456911,1
20,16,2.1878803,1
0,21,3.1619653,1
21,16,0.54448778,1
12,20,-1.7889582,1
22,15,-0.39040968,0
10,22,10.127242,1
18,13,-1.49368,1
1,16,0.099711211,1
9,16,0.38017726,1
0,20,1.7941198,1
4,20,-4.4065844,1
3,23,-1.0561467,1
23,13,1.6736173,1
20,24,6.9113542,0
24,15,3.7079761,0
3,17,8.1343212,1
20,14,-0.54906076,1
25,20,-6.6773648,1
4,25,-1.4716148,1
0,26,0.19263333,0
26,20,-3.5690467,1
2,23,-4.338667,1
25,27,1.2676982,1
27,20,5.5164478,1
26,13,-1.1376255,1
1,28,3.5243261,1
28,13,-4.0306525,1
2,26,0.17011891,1
17,27,-8.7544019,1
25,13,-16.61932,0
0,22,-5.5869727,1
18,27,-1.9268055,1
0,29,6.4254415,1
29,21,0.60764994,0
8,17,-3.8584917,0
5,21,-1.0411826,1
10,18,1.9504021,1
10,30,0.85996473,1
30,18,-0.69850689,1
12,31,1.9327683,1
31,18,-9.7464048,1
1,32,-2.8744027,1
32,28,-3.1951946,1
30,26,0.73531208,0
5,33,-0.89354826,1
33,21,-1.5984738,1
17,19,1.4963014,1
31,29,-1.7089288,1
4,27,4.6198925,1
6,34,-2.6500754,1
34,13,-0.75420075,0
2,32,1.5573012,1
3,33,2.2265722,1
0,35,-1.1838124,1
35,17,-8.4688914,1
6,22,8.2873901,1
20,36,-5.0661357,1
36,15,10.174145,1
20,37,-0.1146064,1
37,24,-0.51260488,1
8,34,0.71124424,1
25,28,3.1979618,1
0,38,4.0615369,1
38,15,-1.680836,1
33,22,-3.96088,1
7,20,-3.1804064,1
39,13,-15.302694,1
25,39,1.4624319,1
