nodes
id,type
0,BIAS
1,INPUT
2,INPUT
3,INPUT
4,INPUT
5,INPUT
6,INPUT
7,INPUT
8,INPUT
9,INPUT
10,INPUT
11,INPUT
12,INPUT
13,OUTPUT
14,OUTPUT
15,OUTPUT
16,HIDDEN
17,HIDDEN
18,HIDDEN
19,HIDDEN
20,HIDDEN
21,HIDDEN
22,HIDDEN
23,HIDDEN
24,HIDDEN
25,HIDDEN
26,HIDDEN
27,HIDDEN
28,HIDDEN
29,HIDDEN
30,HIDDEN
31,HIDDEN
32,HIDDEN
33,HIDDEN
34,HIDDEN
35,HIDDEN
36,HIDDEN
37,HIDDEN
38,HIDDEN
39,HIDDEN
40,HIDDEN
41,HIDDEN
connections
from,to,weight,enabled
0,13,-2.6083518,1
0,14,7.8527932,1
0,15,-10.123291,1
1,13,-36.3987,1
1,14,-5.8830371,1
1,15,1.2431101,0
2,13,-10.236279,1
2,14,-10.022692,1
2,15,-2.91886,1
3,13,0.32602675,1
3,14,-1.3092574,1
3,15,0.59604365,1
4,13,-0.93525523,1
4,14,0.11601267,0
4,15,1.363095,1
5,13,0.70798493,1
5,14,1.7867541,1
5,15,-1.2473386,1
6,13,15.835543,1
6,14,-6.7381712,1
6,15,1.4533756,1
7,13,49.939764,1
7,14,14.086629,1
7,15,2.9052588,1
8,13,2.428872,1
8,14,3.0609357,1
8,15,-4.1770379,1
9,13,-6.3065687,1
9,14,52.624418,1
9,15,2.8774403,1
10,13,3.6291719,1
10,14,-11.067247,1
10,15,-0.11122366,1
11,13,41.702971,1
11,14,-0.98011847,1
11,15,-6.02166,1
12,13,1.4912844,1
12,14,-0.1852425,1
12,15,0.11203687,1
16,15,0.0047536159,1
11,16,-1.2764554,1
7,16,-1.9199836,1
3,16,7.1050466,0
17,14,0.96643271,1
3,17,1.9313726,1
17,15,-1.2512735,1
9,17,-16.425323,1
4,18,1.9125371,1
18,15,4.1562163,1
11,18,5.9180299,1
5,16,-1.3791435,1
16,18,-0.26309804,1
5,18,6.0680768,1
10,19,5.789831,1
19,15,0.93487249,1
19,17,-17.40612,1
20,14,2.5754992,1
6,20,8.7498756,1
1,19,0.3899885,1
7,19,3.5015456,1
7,17,1.7564007,1
21,17,0.036327551,1
7,21,4.7392928,1
9,20,-7.1145548,1
11,20,-3.1793684,1
1,17,-3.5188606,1
11,21,4.0872656,1
0,16,8.9483072,1
2,20,2.61023,1
7,20,-0.0063397004,1
5,22,-4.8679698,1
22,14,-8.4034242,1
22,19,6.9034243,1
11,23,1.1902824,1
23,18,-2.0645223,1
3,19,10.224484,1
10,23,-3.0542078,1
1,23,-3.2249705,1
24,15,-4.192483,1
6,24,-5.1813758,1
4,21,-1.178108,1
4,25,-1.6900472,1
25,18,0.4021499,1
23,25,0.70880522,1
18,14,1.4643661,1
7,24,12.418679,1
22,15,6.4652844,1
18,24,-8.01473,1
3,21,-1.6985736,1
1,16,-2.5916494,1
25,21,0.30828459,1
4,26,7.5088709,1
26,13,-2.5572338,1
12,18,-4.543452,1
27,15,27.293118,1
0,27,1.2130523,1
1,20,-5.1209657,1
5,20,-5.027293,1
4,28,5.2621606,1
28,21,5.7870785,1
21,29,2.1690325,1
29,17,1.0050943,1
8,30,4.762985,1
30,15,-8.9912729,1
17,13,2.2713691,1
16,20,-3.521816,1
4,31,-0.13209139,1
31,25,0.5738455,1
21,19,1.6423275,1
1,22,-1.9493395,1
7,32,4.2814969,1
32,17,-4.4432216,0
4,33,9.4411377,1
33,31,-1.5802092,1
4,32,2.4682508,1
12,34,4.4375866,1
34,15,-14.971319,1
16,35,-3.3423433,1
35,20,3.1757472,1
8,36,-0.96734208,0
36,30,0.71379557,1
7,37,-5.2323713,1
37,19,-13.395843,1
3,38,-3.6422271,1
38,15,-0.19495197,0
28,30,0.98053563,1
38,20,-0.47477843,1
37,23,-1.9887215,1
37,36,1.4619739,1
35,27,-0.64696135,1
27,17,4.0454117,1
26,15,-0.7706057,1
33,23,-0.9279373,1
16,25,3.1817061,1
32,27,-0.14069668,0
11,39,4.4228414,1
39,18,5.8494485,1
1,26,-5.6551713,1
7,40,7.9241752,1
40,21,2.5861004,1
38,25,0.96224249,1
36,35,-1.0200498,1
3,41,-0.47602778,1
41,17,-3.9675011,1
1,34,-1.6744285,1
