nodes
id,type
0,BIAS
1,INPUT
2,INPUT
3,INPUT
4,INPUT
5,INPUT
6,INPUT
7,INPUT
8,INPUT
9,INPUT
10,INPUT
11,INPUT
12,INPUT
13,OUTPUT
14,OUTPUT
15,OUTPUT
16,HIDDEN
17,HIDDEN
18,HIDDEN
19,HIDDEN
20,HIDDEN
21,HIDDEN
22,HIDDEN
23,HIDDEN
24,HIDDEN
25,HIDDEN
26,HIDDEN
27,HIDDEN
28,HIDDEN
29,HIDDEN
30,HIDDEN
31,HIDDEN
32,HIDDEN
33,HIDDEN
34,HIDDEN
35,HIDDEN
36,HIDDEN
37,HIDDEN
38,HIDDEN
39,HIDDEN
40,HIDDEN
41,HIDDEN
42,HIDDEN
43,HIDDEN
44,HIDDEN
45,HIDDEN
46,HIDDEN
47,HIDDEN
48,HIDDEN
49,HIDDEN
50,HIDDEN
51,HIDDEN
52,HIDDEN
connections
from,to,weight,enabled
0,13,-44.213676,1
0,14,1.9858426,1
0,15,-5.6919382,0
1,13,-1.7420061,1
1,14,0.96520595,1
1,15,-2.8787266,1
2,13,-24.62516,1
2,14,1.8135214,1
2,15,-2.7759507,1
3,13,-0.45010821,1
3,14,3.0781152,1
3,15,4.0202253,1
4,13,4.769558,1
4,14,-1.3115664,1
4,15,-1.1318612,1
5,13,-0.7470625,1
5,14,-2.9978013,1
5,15,-0.76642082,1
6,13,-8.237071,1
6,14,2.8400962,1
6,15,0.35955233,1
7,13,77.239673,1
7,14,0.67809954,1
7,15,0.16358376,1
8,13,0.63492079,1
8,14,3.3041984,1
8,15,5.4069269,1
9,13,11.801963,1
9,14,4.9139931,1
9,15,49.248465,1
10,13,-2.810024,1
10,14,5.919301,1
10,15,0.76814482,1
11,13,34.522653,1
11,14,-3.3160438,1
11,15,3.3530425,1
12,13,-2.8171032,1
12,14,-2.1874453,1
12,15,-1.5498278,1
0,16,-2.7402339,1
16,14,4.1813493,1
17,14,-1.6502966,1
1,17,-6.2168105,1
18,14,-0.5055571,1
4,18,0.20683939,1
16,18,0.51231755,1
7,18,8.7005364,1
19,14,0.036121447,1
8,19,-2.1923286,1
19,15,-4.5751469,1
17,13,-4.5033014,1
5,19,1.6321734,1
11,18,1.4637893,1
19,16,-0.13742089,0
1,19,5.3536721,1
20,15,3.563059,1
9,20,-0.7191474,1
17,20,-5.3900072,1
11,21,-6.5656279,0
21,18,1.7988916,1
4,21,0.16696158,1
21,16,-1.3126883,1
9,22,-2.778356,1
22,13,0.53427749,1
21,13,1.1113085,1
7,22,1.1075176,1
23,15,-1.781555,1
7,23,0.81096494,0
9,21,-1.8520872,1
5,18,2.0522879,1
6,22,-0.37127671,1
11,16,-1.6933152,1
8,17,2.7055986,1
0,24,-0.1454911,1
24,14,-2.2512046,1
21,25,3.7078037,1
25,16,-9.7114686,1
20,14,-8.5186453,1
0,20,-7.3722747,1
12,26,-0.6517609,1
26,15,-0.063564197,1
23,16,-0.1407768,1
27,21,5.1967185,1
4,27,-7.5627791,1
26,24,-9.1642851,1
0,28,4.8968874,0
28,24,-0.23788971,1
22,18,2.8810029,1
3,24,-4.6613039,1
8,20,3.2722413,1
17,25,1.4367687,1
12,29,-5.7241156,1
29,13,-2.5171094,1
6,30,8.8446342,1
30,22,-3.1541951,1
12,31,-16.420927,1
31,13,-0.29445202,1
23,32,3.0853782,1
32,16,2.6414389,1
3,19,0.17398664,1
2,31,-0.17222565,1
11,33,2.3066079,1
33,16,-11.618331,1
34,13,2.2147844,1
4,34,3.7331122,0
30,15,0.73242622,1
19,13,2.8286463,1
30,32,-6.2486126,1
22,19,-7.8745899,1
1,35,0.28843104,1
35,14,-2.0433954,1
30,36,-0.69277225,1
36,32,-0.086980917,1
26,19,-1.3352443,1
26,22,-0.49604537,1
12,28,-0.38739981,1
23,17,1.5323588,1
36,20,4.9682352,0
20,37,2.8584944,1
37,15,4.5913769,1
6,38,4.9740087,1
38,15,-1.6330111,1
28,21,-7.2270523,1
25,32,11.261237,1
12,39,4.7609327,1
39,29,3.5642252,1
40,15,6.1481734,1
4,40,3.2298101,1
17,18,-4.0511656,1
9,41,2.1196617,1
41,14,-1.8661987,1
8,42,-1.7803566,1
42,17,-4.0688724,1
3,22,-2.1628556,1
11,43,-0.99748799,1
43,15,18.826984,1
8,44,0.23937553,0
44,15,2.7285268,1
0,45,0.040533952,1
45,28,-0.13327179,1
39,25,-8.2782501,1
46,14,-0.60926472,1
6,46,6.3876089,1
45,32,3.3423249,0
47,14,1.0642265,1
7,47,4.3865015,1
4,45,2.454923,1
30,26,-6.1945006,1
48,18,-7.0124742,1
4,48,-6.6049443,1
37,49,-1.7199092,1
49,15,-22.821252,1
42,50,5.6341482,1
50,17,-9.3333026,1
8,51,-0.75183588,1
51,44,-3.135053,1
36,14,3.2990341,1
12,22,10.753626,1
9,52,5.9555316,1
52,20,2.6938037,1
40,31,0.37994465,1
48,52,-1.7730365,1
46,50,1.6746204,1
24,39,-4.1017436,1
6,35,-3.9103658,1
4,46,-0.43302891,1
