nodes
id,type
0,BIAS
1,INPUT
2,INPUT
3,INPUT
4,INPUT
5,INPUT
6,INPUT
7,INPUT
8,INPUT
9,INPUT
10,INPUT
11,INPUT
12,INPUT
13,OUTPUT
14,OUTPUT
15,OUTPUT
16,HIDDEN
17,HIDDEN
18,HIDDEN
19,HIDDEN
20,HIDDEN
21,HIDDEN
22,HIDDEN
23,HIDDEN
24,HIDDEN
25,HIDDEN
26,HIDDEN
27,HIDDEN
28,HIDDEN
29,HIDDEN
30,HIDDEN
31,HIDDEN
32,HIDDEN
33,HIDDEN
34,HIDDEN
35,HIDDEN
36,HIDDEN
37,HIDDEN
38,HIDDEN
39,HIDDEN
40,HIDDEN
41,HIDDEN
42,HIDDEN
43,HIDDEN
44,HIDDEN
connections
from,to,weight,enabled
0,13,-1.0086347,1
0,14,-5.1725078,0
0,15,-0.71993019,1
1,13,0.66220697,1
1,14,94.630976,1
1,15,0.14664463,1
2,13,1.8058748,1
2,14,1.8362506,1
2,15,-0.5769447,1
3,13,2.2635769,1
3,14,-5.034564,1
3,15,-3.2439082,1
4,13,-4.1145688,1
4,14,-1.1341815,1
4,15,-7.1292941,1
5,13,0.32614922,1
5,14,2.4259323,1
5,15,57.067903,1
6,13,3.9031024,1
6,14,4.1854605,1
6,15,-1.4825407,1
7,13,9.4390958,1
7,14,-1.8374883,1
7,15,0.86019095,1
8,13,3.3592179,1
8,14,-4.7084916,0
8,15,0.15337067,1
9,13,-3.6997029,1
9,14,-5.2233093,1
9,15,0.50048722,1
10,13,0.30773633,1
10,14,-1.6411431,1
10,15,6.7079721,1
11,13,0.93469037,1
11,14,-1.1124805,1
11,15,1.1412782,0
12,13,4.2426942,1
12,14,-0.62808582,1
12,15,4.1027382,1
12,16,-0.34311334,1
16,15,-0.11690449,1
2,16,-4.5663526,1
5,16,5.5150513,1
9,16,1.5999003,1
1,17,3.8862222,1
17,14,1.1201467,1
0,18,-0.55990101,1
18,13,-13.687822,1
5,19,-6.5906368,1
19,14,-2.9115799,1
8,20,-3.7484532,1
20,14,-1.4647024,1
8,16,-1.8919119,1
0,17,-0.16065931,1
5,20,4.3203479,1
9,19,4.5564214,1
21,16,-1.077283,1
12,21,2.8272994,1
0,22,1.2805855,1
22,13,-1.2596757,1
0,23,-1.8565637,1
23,15,-1.2880168,1
12,24,4.4618319,1
24,15,7.7630882,1
19,24,-6.4748273,1
8,17,-7.2654544,1
12,25,-0.63636021,1
25,14,-2.1556929,1
24,23,4.502832,1
19,15,-4.7151877,1
2,25,4.9915458,0
11,23,-2.0948655,1
19,20,8.8513312,1
11,26,-1.4904112,1
26,13,-0.22304613,1
11,18,-0.48684801,1
10,26,1.8874287,1
26,16,1.8986288,1
0,16,1.9592024,1
17,21,1.7915361,1
19,25,-5.5847056,1
17,22,-10.26352,1
27,13,5.2880289,1
3,27,1.1318046,1
9,28,2.8040926,1
28,19,-1.0597333,1
4,22,4.2034041,1
19,13,-30.570167,1
21,22,-16.001543,1
4,29,-5.1660785,1
29,14,2.4865367,1
29,30,-7.1421847,1
30,14,-2.1158677,1
5,31,1.370797,0
31,13,-0.70816809,1
29,13,-1.1915116,1
27,19,3.5470471,1
4,32,5.5757659,1
32,22,2.5436717,1
7,26,3.1495879,1
4,33,3.3827032,1
33,29,0.83135794,1
34,13,-7.6901468,1
6,34,1.5321356,1
10,24,-4.8453953,1
27,30,-2.4698999,1
29,21,-1.5017199,1
26,34,9.6954327,1
0,31,-0.83830758,1
7,22,8.3196732,1
17,35,1.1615429,1
35,22,-2.0260935,1
12,36,-1.0534227,1
36,24,4.4102695,1
24,37,0.42881168,1
37,23,-0.87209284,1
11,38,5.6950008,1
38,18,-2.0074368,1
1,39,0.73830728,1
39,13,-1.3222131,1
17,34,-0.86791336,1
20,30,9.7463185,1
2,31,8.2034982,1
8,40,-3.1063252,1
40,15,-3.0624317,1
17,32,1.3917224,1
41,15,-0.68904791,1
9,41,4.8176694,1
22,37,-2.6262209,1
34,42,0.054602973,1
42,13,-1.9883626,1
21,24,-1.1536773,1
8,43,-2.0272785,1
43,14,-2.0376629,1
11,22,1.1242281,0
9,32,0.31359424,1
6,16,-4.59178,1
22,40,1.3953744,1
34,16,8.6088513,1
11,44,-5.4378423,1
44,22,-5.6926167,1
23,16,0.20732022,1
